NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
611420,DC,0,0,0,0,64130,57362,49619,43414,53501,0,46071
811212,DC,0,53161,52662,79331,67130,58349,51019,50225,49873,44523,39370
811213,DC,*,*,*,*,*,0,0,0,0,0,*
10,FL,281840,281426,276394,269643,259094,248170,238749,224332,217233,208527,202573
11,FL,68047,21526,22300,22512,54450,53538,49931,48209,47501,18160,18171
323115,FL,37021,35282,34452,35179,35768,38124,35128,37216,36614,36778,33299
33411,FL,69790,64438,60846,58371,59039,56650,59088,59715,60145,57398,61610
334611,FL,57921,54358,57632,0,52195,48513,50615,53989,56230,67037,50295
423430,FL,106289,99997,95617,94082,92458,83983,84365,81694,77896,76140,75789
425110,FL,62695,58505,77242,69685,58877,56760,53403,52630,52058,54559,48402
443120,FL,64159,59230,52907,54102,50109,50244,49532,49279,51258,53392,50178
454111,FL,44663,42388,43128,43008,44901,44372,42188,41093,38221,39470,37148
51,FL,183160,192875,182125,178704,172017,170568,79956,75398,72105,102979,70353
511210,FL,111203,95227,93308,95536,95165,86407,83727,79593,73724,79725,84858
518,FL,76028,71482,64835,66016,59684,90143,92672,92152,53905,58489,53648
519130,FL,70255,69418,67557,73949,*,*,*,*,*,*,*
52,FL,224409,138193,139523,216911,211495,198635,187777,178931,175216,159881,102851
522320,FL,65915,66652,63097,65039,68522,58091,56417,51594,46072,48967,45936
54151,FL,75600,73746,73922,73150,70056,66390,61712,59926,60127,61844,65134
611420,FL,47539,49670,49571,55063,53026,52019,44045,39242,39709,43079,41712
811212,FL,39106,39034,38348,41511,41601,38895,39837,38344,37258,36799,35800
811213,FL,60538,59787,56187,54261,51734,48571,46158,44363,42633,41748,41658
10,GA,272772,269458,264404,259682,249468,241466,233286,227805,220100,211039,203690
11,GA,27207,26808,26873,26670,25507,24568,61319,21859,21250,21639,20624
323115,GA,42106,40599,43511,43433,43910,42044,41095,40792,39186,41340,40226
33411,GA,84058,80864,77708,79455,76589,73201,72403,65289,75478,68243,58583
334611,GA,74249,72839,74356,70134,59427,99176,71875,76193,67170,72686,78990
423430,GA,109977,104699,106477,106690,98373,93716,90279,89229,86210,85939,85636
425110,GA,57794,57487,60981,62273,63082,58232,56430,52360,48678,51466,53692
443120,GA,68028,59727,50735,50110,50315,48536,49293,49823,49988,51806,49992
454111,GA,49163,49057,49131,48262,45386,45131,51630,52340,53037,50994,*
51,GA,176127,173376,170886,170768,161279,156541,149372,138479,132088,97666,101681
511210,GA,111916,108769,111556,117777,101481,95634,88456,90464,81001,81135,92063
518,GA,78521,77493,73564,82118,72747,67693,63969,59958,58796,57316,65273
519130,GA,86110,85331,80913,90062,*,*,*,*,*,*,*
52,GA,169238,156332,157510,151107,146066,142380,134780,129133,125016,117501,112071
522320,GA,85891,79588,74589,75555,73987,70553,76596,44514,40463,40120,43503
54151,GA,135594,133590,130366,127483,123070,117700,159814,119344,171691,168745,169533
611420,GA,57887,59561,57355,48358,49029,45611,43886,41907,41495,43979,*
811212,GA,52380,49232,51743,51700,48390,45910,44158,44192,47200,46520,57630
