NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
33411,FL,105,98,84,75,82,88,89,100,96,96,95
334611,FL,75,61,30,21,24,27,34,49,56,49,40
423430,FL,1156,1111,1127,1177,1194,1263,1271,1224,1193,1199,1159
425110,FL,298,348,405,437,460,495,544,620,631,636,640
443120,FL,1263,1204,1259,1231,1257,1374,1436,1649,1803,1872,1811
454111,FL,1295,1153,1054,962,792,684,561,477,413,355,262
51,FL,9839,9887,9991,9459,9789,9629,9205,8878,8762,8374,7814
511210,FL,649,594,518,437,347,320,262,249,230,210,205
518,FL,1236,1243,1281,1286,2007,1875,1802,1718,1803,1796,1627
519130,FL,718,705,705,620,*,*,*,*,*,*,*
52,FL,32351,33606,36617,36828,35057,32654,30479,27903,25659,24429,22453
522320,FL,516,524,523,470,415,306,259,226,224,208,183
54151,FL,11118,11133,11319,10882,10054,9285,8525,7820,7424,7291,6844
611420,FL,201,206,192,188,182,199,197,195,181,171,168
811212,FL,603,586,550,529,505,482,438,395,360,344,317
811213,FL,141,136,134,135,130,135,133,126,129,139,156
10,GA,542032,549497,558866,549581,531453,515964,501868,489690,477452,468476,474354
11,GA,2343,2370,2351,2346,2331,2330,2300,2301,2274,2247,2378
323115,GA,79,79,73,62,53,53,48,44,41,27,28
33411,GA,39,36,32,32,32,32,28,33,36,38,39
334611,GA,13,12,19,19,19,23,26,26,29,29,23
423430,GA,577,575,561,559,599,668,696,766,853,929,1044
425110,GA,291,323,343,382,368,396,433,531,582,644,793
443120,GA,279,289,404,405,379,342,373,411,434,482,552
454111,GA,332,323,287,266,234,195,145,124,90,67,*
51,GA,4868,4843,4557,4475,4348,4361,4439,4565,4634,4575,4639
511210,GA,377,342,304,262,256,267,293,327,351,352,366
518,GA,464,458,424,429,626,618,645,718,764,717,741
519130,GA,235,195,156,124,*,*,*,*,*,*,*
52,GA,14854,15586,15780,15665,15187,15052,14561,14179,13547,13072,13255
522320,GA,259,237,227,234,260,252,193,193,178,114,88
54151,GA,7892,7688,7081,6715,6336,6289,6018,5953,5554,4962,5033
611420,GA,137,148,145,141,142,147,156,158,155,143,*
811212,GA,289,294,284,285,293,297,264,251,218,198,215
811213,GA,50,49,45,46,43,45,43,43,42,38,41
10,HI,78089,79444,78804,77785,74843,73604,71722,75202,72786,72271,69247
11,HI,446,451,450,447,440,450,443,457,448,460,433
323115,HI,10,10,12,14,11,10,9,9,6,5,3
33411,HI,1,1,1,1,1,2,2,0,0,0,*
423430,HI,17,17,17,16,15,14,14,16,23,25,21
425110,HI,5,4,3,3,5,3,4,6,7,9,10
443120,HI,28,30,34,35,37,33,30,0,0,56,*
454111,HI,32,31,30,30,31,28,28,36,29,0,*
51,HI,696,703,726,736,689,688,683,704,691,666,612
511210,HI,26,23,23,24,24,21,19,23,24,23,23
