OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15-1111,KS,79300,*,*,*,*,*,*,*,*,*,*
15-1121,KS,72730,*,*,*,*,*,*,*,*,*,*
15-1131,KS,67790,*,*,*,*,*,*,*,*,*,*
15-1132,KS,77700,*,*,*,*,*,*,*,*,*,*
15-1133,KS,91410,*,*,*,*,*,*,*,*,*,*
15-1141,KS,67910,*,*,*,*,*,*,*,*,*,*
15-1142,KS,61040,*,*,*,*,*,*,*,*,*,*
15-1150,KS,42580,*,*,*,*,*,*,*,*,*,*
15-1179,KS,64330,*,*,*,*,*,*,*,*,*,*
15-1799,KS,71690,*,*,*,*,*,*,*,*,*,*
15-2031,KS,85380,81160,77560,74900,70030,*,*,*,55360,53280,52500
17-0000,KS,68020,66710,65290,64190,62400,60710,60010,57270,54430,52430,49880
17-2061,KS,81200,78560,76820,63510,71540,64230,65130,*,58150,59410,57510
17-2112,KS,72720,71440,70540,66250,61570,59320,58920,56780,56730,54440,51550
17-3026,KS,53770,54980,52910,50940,42980,38380,39050,39090,*,46060,45830
19-0000,KS,57620,55770,54690,54530,51230,51350,51350,49520,46420,44050,43090
25-1021,KS,60570,58800,60860,64780,64710,60920,56480,50390,45590,43570,35250
27-0000,KS,37590,37240,36490,34940,33540,32500,33190,32660,30650,30410,27690
27-1014,KS,41190,34170,33310,35080,34600,33650,36110,39970,40050,38080,28200
27-1024,KS,39860,40120,38350,37600,35680,34820,34600,35120,33410,31780,30670
27-3042,KS,50720,50090,51980,50760,47670,49070,52000,55120,47860,44200,43740
29-2071,KS,31790,31350,29500,27940,26280,25120,25230,24030,22830,22810,21900
41-4011,KS,79810,73790,76130,72060,68370,68050,71410,73950,77780,68890,54960
43-9011,KS,32480,31620,32040,34190,32760,30660,32110,30490,30530,29500,27750
43-9021,KS,28660,28230,27850,27000,25590,23730,23640,22890,22770,21960,21420
43-9031,KS,33680,31570,31000,30040,29710,*,29030,29450,26150,*,27400
45-0000,KS,27450,28330,27140,29090,27290,25960,24350,26130,23530,25180,23890
49-2011,KS,38330,39660,37750,36190,36720,36450,37830,37020,35700,35120,33780
51-4011,KS,32880,32850,34950,34590,34180,34210,33960,34370,33530,33690,31570
51-4012,KS,53740,56200,47730,45930,42780,40360,41740,39820,38720,38310,36010
11-3021,KY,92840,93850,93360,88530,81990,76990,76460,76140,73250,69910,64870
13-0000,KY,54660,53450,52490,51330,49230,47460,46860,47540,45680,43040,41960
13-1081,KY,64290,63380,62040,59270,58920,55610,53760,*,*,*,*
13-1111,KY,67250,67860,68180,71530,71030,61370,57310,54100,53200,46830,43560
15-0000,KY,61990,60790,58940,59430,55840,54500,53330,52030,51880,49830,48770
15-1011,KY,*,*,*,94710,77500,74470,78680,76290,*,67680,68510
15-1021,KY,*,68160,62600,66610,58670,58980,54840,54130,55060,53930,50640
15-1031,KY,*,69970,71010,71600,63730,61040,63530,60490,60960,62170,57640
15-1032,KY,*,79790,75730,70770,68380,65830,66770,64810,61890,62470,61330
15-1041,KY,*,39780,36560,37270,37270,36500,36280,34620,34670,33130,31820
15-1051,KY,*,69980,67800,68370,64970,65040,63270,62540,60690,58800,56670
15-1061,KY,*,58590,61620,62010,58070,56450,56670,52140,52600,48870,46830
15-1071,KY,*,51940,50690,50230,51590,50350,52660,50440,49050,46640,44700
15-1081,KY,*,59130,58510,59810,60520,*,53340,54200,53270,49840,46530
15-1099,KY,*,66340,65990,59590,56090,*,48950,*,*,*,*
15-1121,KY,72040,*,*,*,*,*,*,*,*,*,*
15-1131,KY,64360,*,*,*,*,*,*,*,*,*,*
15-1132,KY,69300,*,*,*,*,*,*,*,*,*,*
15-1133,KY,80810,*,*,*,*,*,*,*,*,*,*
15-1141,KY,63020,*,*,*,*,*,*,*,*,*,*
15-1142,KY,53440,*,*,*,*,*,*,*,*,*,*
15-1150,KY,42160,*,*,*,*,*,*,*,*,*,*
15-1179,KY,59960,*,*,*,*,*,*,*,*,*,*
15-1799,KY,70980,*,*,*,*,*,*,*,*,*,*
15-2031,KY,66320,66700,63560,57840,59130,55350,54780,53130,*,51520,51530
17-0000,KY,62830,62180,60890,59450,56170,55400,55060,55080,52430,50960,48040
17-2061,KY,85960,93840,90430,*,*,*,*,*,*,*,*
17-2112,KY,67040,69870,67520,64400,60430,61740,62690,62770,63240,58340,57340
17-3026,KY,52110,47160,45910,42840,43080,39820,42810,42620,42500,39940,37690
19-0000,KY,50440,51180,50500,49680,46720,45210,44660,43840,41490,40130,38330
25-1021,KY,70640,72410,70060,61490,59000,56450,56750,54330,55270,53400,51630
27-0000,KY,37780,35990,35560,34990,34970,33940,32570,30860,32130,30560,29510
27-1014,KY,55970,52370,40020,50380,46240,45960,51640,50350,43180,42550,40770
27-1024,KY,38090,35910,35830,37120,36880,36770,35560,33740,33090,31460,29580
27-3042,KY,53250,53350,50520,49800,46340,44330,45500,43830,46990,47030,46690
29-2071,KY,31740,31440,30610,30190,29040,27720,26850,26010,24420,24190,22680
41-4011,KY,79370,79660,83640,79210,74940,69730,65070,69340,65040,63190,61570
43-9011,KY,33080,35400,36280,34490,33890,34120,33100,30510,30540,29000,27130
43-9021,KY,26370,27550,26200,25310,23030,22870,21520,20740,20120,19650,19410
43-9031,KY,36870,36840,38850,38650,35470,30210,28310,27070,29060,26130,26250
45-0000,KY,25030,25930,25180,24090,22780,22480,22550,21510,21240,20650,19450
49-2011,KY,34460,37730,37660,34170,32770,33080,32810,30850,31420,31190,28150
51-4011,KY,33790,32930,32770,32150,30500,28780,29210,28590,27560,26930,26300
51-4012,KY,43610,44060,43020,40760,40360,42720,41750,36590,33730,33350,31460
11-3021,LA,85950,80820,78810,80050,77740,74840,69500,61350,59310,60100,60190
13-0000,LA,55340,53420,51550,48300,48200,46220,45940,45440,44260,41530,40440
13-1081,LA,63090,62490,60470,60910,60410,*,42780,*,*,*,*
13-1111,LA,70780,68860,67380,63230,67660,60950,59700,63160,62490,54550,55930
15-0000,LA,58500,57020,54690,54390,52640,51320,51570,52960,51910,48890,46080
15-1011,LA,*,80550,78680,71650,*,*,*,60970,53950,50940,50120
15-1021,LA,*,56790,52990,52490,52930,50360,50500,51990,50820,49970,46590
15-1031,LA,*,69870,69710,70410,63010,61340,59330,70660,68580,61010,57890
15-1032,LA,*,75960,70700,72030,71070,68650,66940,66540,63560,63560,61790
15-1041,LA,*,43150,41270,42820,41350,39920,41940,39130,40510,39150,38180
15-1051,LA,*,55610,54920,59020,56930,60230,59390,56670,56130,52140,50480
15-1061,LA,*,61220,61770,61350,63590,56330,55150,49480,48650,47070,44820
15-1071,LA,*,55930,55510,54510,53240,50390,51330,61810,62800,55500,44970
15-1081,LA,*,54290,53430,51750,49680,48380,48160,48290,47930,48490,53340
15-1099,LA,*,72610,68330,58290,53610,39160,40990,*,*,*,*
15-1111,LA,87110,*,*,*,*,*,*,*,*,*,*
15-1121,LA,58770,*,*,*,*,*,*,*,*,*,*
15-1131,LA,60630,*,*,*,*,*,*,*,*,*,*
15-1132,LA,72780,*,*,*,*,*,*,*,*,*,*
15-1133,LA,76220,*,*,*,*,*,*,*,*,*,*
15-1141,LA,64800,*,*,*,*,*,*,*,*,*,*
15-1142,LA,59850,*,*,*,*,*,*,*,*,*,*
15-1150,LA,46920,*,*,*,*,*,*,*,*,*,*
15-1179,LA,58100,*,*,*,*,*,*,*,*,*,*
15-1799,LA,71590,*,*,*,*,*,*,*,*,*,*
15-2031,LA,48670,49430,45840,47470,47620,47450,47640,43480,42230,46240,47480
17-0000,LA,73670,68220,65030,59460,57540,55900,56210,56040,54910,53890,51400
17-2061,LA,81130,76460,61010,53180,51960,58140,58290,53950,61480,60330,57410
17-2112,LA,82690,70240,65190,61770,57540,60890,58730,59190,68590,66730,64260
17-3026,LA,56100,57870,56990,56040,46910,43870,45830,46490,48920,49220,49920
19-0000,LA,59510,57440,55430,55030,53260,51990,52270,50240,51270,48310,45760
25-1021,LA,66170,62910,60660,61440,*,56230,54600,50040,55560,50970,48430
27-0000,LA,40550,38990,38280,37010,33480,31010,31180,32090,33430,32100,30640
27-1014,LA,-1,52950,-1,34080,31750,30280,34560,36670,36510,33280,32020
27-1024,LA,37630,36440,36090,34100,32860,30360,30830,29800,29380,29860,26230
27-3042,LA,52940,50920,49250,46180,51200,48910,51730,49060,42980,36670,33970
29-2071,LA,29120,28550,26970,24910,24270,23330,22440,22850,22790,22540,22590
41-4011,LA,64570,65690,69240,68490,63910,58420,60340,55000,52490,50610,46000
43-9011,LA,36750,35130,33000,30930,29780,27480,27910,26960,27830,26930,24880
43-9021,LA,26380,25370,23880,22930,22280,21560,21070,20270,20000,18780,18810
43-9031,LA,36450,32630,31420,28540,30660,27030,26840,23850,23890,26580,24210
45-0000,LA,31720,29860,29580,27780,27590,26150,26360,25450,23750,23390,23560
49-2011,LA,27610,27040,33730,33110,32810,34520,34930,34430,31970,30650,28700
51-4011,LA,38710,38290,37850,33840,32190,28440,30670,29980,28870,27710,23680
51-4012,LA,47840,46560,44910,41860,41950,40380,39830,36780,39300,39360,36500
11-3021,ME,92040,92030,90220,88660,83090,79540,74870,71100,66050,66590,62180
13-0000,ME,57730,55320,54950,53480,51970,49220,47740,47140,44080,41680,40330
13-1081,ME,62680,65020,62920,58840,58410,*,50400,*,*,*,*
13-1111,ME,69310,66260,70590,70240,65280,57630,56740,59070,57420,52800,55650
15-0000,ME,61480,60490,59130,59040,56600,54580,52760,51830,50860,48410,46260
15-1021,ME,*,55890,58040,62540,59060,52200,51980,52010,51690,50890,50580
15-1031,ME,*,65290,63650,62580,64470,67710,66060,62960,62440,55520,54970
15-1032,ME,*,82850,76200,72930,69820,67740,68960,69070,68800,67420,66790
15-1041,ME,*,42250,40740,40600,38240,36460,35470,34490,34370,32690,30660
15-1051,ME,*,69900,70060,70010,66250,62920,60280,56930,57210,56700,49170
15-1061,ME,*,69120,63450,61700,56700,56710,55910,52770,51380,52510,50880
15-1071,ME,*,59830,58540,58030,54280,53280,52240,50200,47760,46980,43920
15-1081,ME,*,62720,66220,60890,63110,61190,57580,54330,52020,47700,44870
15-1099,ME,*,67560,64350,62090,60320,54980,51130,*,*,*,*
15-1121,ME,67570,*,*,*,*,*,*,*,*,*,*
15-1131,ME,57440,*,*,*,*,*,*,*,*,*,*
15-1132,ME,72400,*,*,*,*,*,*,*,*,*,*
15-1133,ME,84010,*,*,*,*,*,*,*,*,*,*
15-1141,ME,67220,*,*,*,*,*,*,*,*,*,*
15-1142,ME,58910,*,*,*,*,*,*,*,*,*,*
15-1150,ME,44300,*,*,*,*,*,*,*,*,*,*
15-1179,ME,65800,*,*,*,*,*,*,*,*,*,*
15-1799,ME,68040,*,*,*,*,*,*,*,*,*,*
15-2031,ME,62180,63470,62170,63700,63220,60650,59400,57500,51260,46360,45160
17-0000,ME,65920,64070,61670,58640,58190,56920,55790,54010,51400,50430,49860
17-2061,ME,*,*,*,*,*,*,*,*,*,*,57900
17-2112,ME,75060,72780,72350,69240,67720,64710,62550,61410,59020,58430,56510
17-3026,ME,49760,48370,55340,55990,52400,43590,45830,44580,36490,37070,41040
19-0000,ME,57470,56920,55010,53070,49710,47530,46990,46260,46720,43730,42470
25-1021,ME,81300,69560,67350,61250,55640,52170,49840,47050,47810,47090,42830
27-0000,ME,37920,37770,37370,35160,32180,32510,32800,33410,35190,32930,31880
27-1014,ME,*,48030,46260,44370,46300,50230,49520,40350,40690,38440,38580
27-1024,ME,41680,39280,36980,35350,34140,33810,34580,35030,34380,35600,33540
27-3042,ME,52450,48580,46860,47710,52240,47870,46630,44260,43170,47800,50910
29-2071,ME,31830,31210,31500,30570,29190,27380,26270,23470,23660,23310,21950
41-4011,ME,69720,64570,77950,69310,-1,51740,56870,62950,68500,60250,57760
43-9011,ME,32260,30730,35620,34180,28980,29480,31540,30300,30200,28830,27430
43-9021,ME,26000,25710,26000,24820,23150,22310,22540,22060,21380,20400,19470
43-9031,ME,29530,29860,32510,33360,34790,32760,31880,29100,28800,28160,28040
45-0000,ME,31190,30720,31040,30040,29570,28360,27490,24900,25650,25970,24870
49-2011,ME,36590,35590,34400,33520,32040,33800,34650,34440,30000,30150,29040
51-4011,ME,38560,40890,39530,39410,34150,32500,31810,34110,31980,32130,29870
51-4012,ME,47520,45650,*,44800,42800,44150,42690,43490,35330,*,*
11-3021,MD,123770,125110,123310,119390,113120,105550,100590,92470,87420,83130,81440
13-0000,MD,74080,72410,69390,66140,63220,61010,59450,57600,54240,51370,49450
13-1081,MD,85250,82120,79500,75110,74570,65580,66510,*,*,*,*
13-1111,MD,90740,87980,81300,79830,73740,75730,71210,72580,69900,63090,61130
15-0000,MD,85490,84610,82740,80420,76390,73310,72100,70160,66480,63550,59850
15-1011,MD,*,108610,100590,98870,94650,91020,86870,80320,78550,75810,73340
15-1021,MD,*,77660,77940,75940,71370,67620,65900,63740,61770,59490,59370
15-1031,MD,*,95310,95270,93030,86990,81880,81300,83540,75650,75410,70340
15-1032,MD,*,95980,97250,96550,94380,93310,90630,85180,79230,78810,69530
15-1041,MD,*,51950,50400,48670,46450,44160,44610,46510,46260,46290,42870
15-1051,MD,*,87750,86500,81910,77260,76380,74080,69290,68460,65340,62670
15-1061,MD,*,84300,82930,81300,72480,70710,70560,66620,63170,63100,60650
15-1071,MD,*,80100,77380,76100,71870,67760,69010,64370,61020,58300,53080
15-1081,MD,*,84880,81020,79060,74070,72720,70170,67370,65790,65290,58310
15-1099,MD,*,95190,89400,83670,81150,66110,66520,*,*,*,*
15-1111,MD,109540,*,*,*,*,*,*,*,*,*,*
15-1121,MD,88460,*,*,*,*,*,*,*,*,*,*
15-1131,MD,77260,*,*,*,*,*,*,*,*,*,*
15-1132,MD,94360,*,*,*,*,*,*,*,*,*,*
15-1133,MD,98720,*,*,*,*,*,*,*,*,*,*
15-1141,MD,79100,*,*,*,*,*,*,*,*,*,*
15-1142,MD,80400,*,*,*,*,*,*,*,*,*,*
15-1150,MD,53400,*,*,*,*,*,*,*,*,*,*
15-1179,MD,89450,*,*,*,*,*,*,*,*,*,*
15-1799,MD,97170,*,*,*,*,*,*,*,*,*,*
15-2031,MD,86850,85290,83330,84320,82550,73960,69670,63850,62070,59760,63140
17-0000,MD,84380,81030,78440,75010,72160,69380,67570,62690,60590,58350,55060
17-2061,MD,100870,101310,101740,97400,89440,84410,78460,74750,73170,72350,66140
17-2112,MD,89990,89030,84270,76300,74480,72000,68980,60500,63180,61090,60920
17-3026,MD,59320,52980,50970,50880,55100,47320,48740,43250,40510,36740,34380
19-0000,MD,83140,78160,75220,71900,70750,68490,67330,63730,61190,57010,54250
25-1021,MD,82530,81230,81490,74140,61140,50210,50240,49990,53540,63320,65040
27-0000,MD,53840,52170,51670,50460,48480,44660,43400,42820,40460,40600,38740
27-1014,MD,58590,66850,60680,57720,50000,50340,50460,51760,47750,47960,43900
27-1024,MD,52920,51880,51380,47690,45570,41500,42640,41380,39050,41290,38830
27-3042,MD,68290,68000,66510,65230,62360,59540,58170,57410,56090,55670,53240
29-2071,MD,40930,39330,39080,37240,35680,33980,32870,30330,29320,27590,26940
41-4011,MD,85880,81900,89300,85790,80820,67760,75240,78790,83380,79250,72340
43-9011,MD,42530,41810,40250,38000,37500,35770,35860,32790,32450,32600,30930
43-9021,MD,29820,29290,27850,27650,26650,26090,25650,24150,23600,22510,21850
43-9031,MD,44790,45050,43010,43830,41360,42360,39860,40270,39380,37670,36790
45-0000,MD,28880,27380,26580,25050,24530,23630,22830,23310,22920,22750,22480
49-2011,MD,44320,47200,47010,46180,44500,39300,34940,34860,36050,35230,34130
51-4011,MD,33400,34170,33410,34670,35410,34860,31670,28660,27360,26270,29670
51-4012,MD,42540,44820,44750,48100,45110,43710,44910,45860,42370,39100,37840
11-3021,MA,134380,132950,128260,123820,116370,110780,106690,103060,95620,88070,84630
13-0000,MA,77110,76990,73640,71470,68460,67030,65280,63610,57970,55930,53860
13-1081,MA,79690,79610,78560,71870,69730,65580,71030,*,*,*,*
13-1111,MA,100660,100310,96620,94680,90160,88750,86740,89630,79470,73510,71790
15-0000,MA,88020,88610,86760,83660,79700,77450,76550,72480,68760,68650,65770
15-1011,MA,*,121280,121100,123030,117600,115270,109620,102080,88410,77340,72100
15-1021,MA,*,90680,82250,78270,76660,80550,75700,71200,69450,69700,70150
15-1031,MA,*,102920,99580,95570,90390,88380,88830,86230,83340,82470,78410
15-1032,MA,*,101670,100760,96580,93080,88680,88570,86040,83110,82230,79000
15-1041,MA,*,60230,58630,56890,55020,55170,55400,55040,50120,48990,46850
15-1051,MA,*,88900,88370,84420,79000,73260,72170,67500,63580,66710,65150
15-1061,MA,*,78430,78110,73830,73190,71240,68660,64670,59630,62780,57160
15-1071,MA,*,77600,76380,75040,72870,69330,67430,64090,62090,60980,58120
15-1081,MA,*,82140,80390,81110,77680,75880,74490,68850,65490,69940,59990
15-1099,MA,*,81190,77890,76870,72690,71390,67390,*,*,*,*
15-1111,MA,113980,*,*,*,*,*,*,*,*,*,*
15-1121,MA,88710,*,*,*,*,*,*,*,*,*,*
15-1131,MA,90620,*,*,*,*,*,*,*,*,*,*
15-1132,MA,98400,*,*,*,*,*,*,*,*,*,*
15-1133,MA,102220,*,*,*,*,*,*,*,*,*,*
15-1141,MA,80900,*,*,*,*,*,*,*,*,*,*
15-1142,MA,80280,*,*,*,*,*,*,*,*,*,*
15-1150,MA,59800,*,*,*,*,*,*,*,*,*,*
15-1179,MA,86480,*,*,*,*,*,*,*,*,*,*
15-1799,MA,81340,*,*,*,*,*,*,*,*,*,*
15-2031,MA,80920,81830,80060,78260,76130,76620,76680,71460,61240,57100,48410
17-0000,MA,81230,80470,79630,76540,73950,70620,69040,66210,63940,61270,59230
17-2061,MA,115190,114440,109620,101040,96430,92700,92150,86910,84120,85460,80430
17-2112,MA,83460,83160,81860,81410,78720,75150,73840,70150,67720,65170,61840
17-3026,MA,50680,50270,51800,53690,51630,50980,48300,46300,48130,48270,48870
19-0000,MA,73700,74710,73490,71010,68080,65320,64260,61340,55540,54290,51500
25-1021,MA,96870,97030,92200,90850,85390,73070,74020,67990,65310,58980,52150
27-0000,MA,57710,55120,55150,53530,51810,49280,48340,48140,46020,44380,41650
27-1014,MA,59670,58640,55310,51790,47940,50540,*,58800,56700,43990,47670
27-1024,MA,52170,51290,48980,48600,47620,49430,49160,53690,51970,52420,42910
27-3042,MA,81270,79900,78380,72820,69310,67160,65580,62990,62840,60150,57270
29-2071,MA,40230,39310,36680,33850,32320,30840,30290,27840,27130,27060,24880
41-4011,MA,95910,91930,91820,88550,85280,80020,75980,72610,68580,62360,62090
43-9011,MA,41860,41250,41170,39260,37960,35700,36530,36060,35740,36140,34390
43-9021,MA,32450,31020,30570,29910,29770,28930,28000,26630,26010,24260,23680
43-9031,MA,46380,47470,48870,47270,45860,44800,43370,40400,38630,39430,38720
45-0000,MA,29440,28600,26760,24990,23630,25010,24930,24440,24870,23920,22660
49-2011,MA,44440,42300,43410,41980,41090,40080,41370,39300,37340,38750,36520
51-4011,MA,41460,40030,38620,38120,36790,36270,34880,34040,34690,32810,33130
51-4012,MA,50600,52610,49530,49460,45920,49040,49910,45470,44970,43660,42000
11-3021,MI,106140,105460,103730,101800,98210,96400,92920,92250,90690,81470,76670
13-0000,MI,65200,64430,65090,64540,63450,61090,60360,59750,56620,54280,52400
13-1081,MI,75620,73950,69790,70430,66950,66970,68800,*,*,*,*
13-1111,MI,79930,80270,82980,87890,88050,79900,71250,70370,67590,65860,62730
15-0000,MI,68670,68610,68440,66980,64690,62060,62230,59930,58520,57440,54740
15-1011,MI,*,93000,81990,72160,84310,96040,97670,89670,67370,61480,65180
15-1021,MI,*,69560,67650,67190,64810,62210,63310,61780,60320,59900,55340
15-1031,MI,*,77220,79620,76260,76100,74320,72210,71550,69510,68420,63980
15-1032,MI,*,82170,81060,79200,74640,74080,71890,71810,69190,72660,70260
15-1041,MI,*,44350,44690,43680,43460,41890,42350,41340,41360,41290,40110
15-1051,MI,*,80180,78630,78080,74440,71780,72040,65670,64640,58410,57150
15-1061,MI,*,69890,68010,65920,62510,61510,61480,55900,52950,50650,48030
15-1071,MI,*,66520,64400,61070,58500,58730,57210,55040,52890,52570,50440
15-1081,MI,*,72440,72980,68440,68160,59650,60810,57030,56150,55890,53910
15-1099,MI,*,66170,67020,62700,60310,57750,60400,*,*,*,*
15-1111,MI,96130,*,*,*,*,*,*,*,*,*,*
15-1121,MI,79820,*,*,*,*,*,*,*,*,*,*
15-1131,MI,69010,*,*,*,*,*,*,*,*,*,*
15-1132,MI,80540,*,*,*,*,*,*,*,*,*,*
15-1133,MI,82980,*,*,*,*,*,*,*,*,*,*
15-1141,MI,69680,*,*,*,*,*,*,*,*,*,*
15-1142,MI,68350,*,*,*,*,*,*,*,*,*,*
15-1150,MI,45590,*,*,*,*,*,*,*,*,*,*
15-1179,MI,74740,*,*,*,*,*,*,*,*,*,*
15-1799,MI,67370,*,*,*,*,*,*,*,*,*,*
15-2031,MI,82180,84880,85750,81990,70250,*,*,*,*,62830,59130
17-0000,MI,73950,72270,72270,71480,69230,65840,65720,63620,62550,60490,59080
17-2061,MI,-1,95220,87410,76370,72650,74760,78050,76400,73040,73270,73290
17-2112,MI,80640,79260,79590,76950,74000,70130,70300,67470,65370,64680,62330
17-3026,MI,47060,47290,50240,48790,50540,50070,54600,57990,*,49990,50570
19-0000,MI,56200,58220,58330,59820,57660,56620,55230,45190,47750,44970,43470
25-1021,MI,85200,77560,74230,66410,66210,63320,60500,59220,56750,54670,54750
27-0000,MI,46580,46600,46960,47640,46450,45790,45250,46110,46770,43710,43000
27-1014,MI,56020,53400,51880,47620,45170,40740,50740,48110,47830,46570,44270
27-1024,MI,42220,42980,43460,47010,46010,46020,43640,45220,50120,42660,42200
27-3042,MI,58110,57950,61890,61500,60190,53680,52520,49440,50080,48130,47500
29-2071,MI,35620,34290,33810,32690,31820,30290,30210,28270,26750,26010,25510
41-4011,MI,85200,84130,80890,78230,74180,67630,66870,70420,69250,70470,62760
43-9011,MI,36030,36750,37450,37240,37190,34260,33670,32650,30880,30950,29620
43-9021,MI,29200,29460,29360,27730,26580,26540,25690,24260,23250,22940,22200
43-9031,MI,33060,35820,36740,35540,35180,37280,35690,33880,32760,31280,29140
45-0000,MI,28200,27470,27620,25850,25010,24260,25050,21180,20430,23140,22690
49-2011,MI,40060,42040,42390,41620,41290,41150,41810,38720,35660,34650,31650
51-4011,MI,35740,36570,35470,35220,34030,32510,31530,31310,30690,30960,29680
51-4012,MI,48070,48850,46880,45190,45010,44350,45770,44430,44530,44860,43130
11-3021,MN,118360,118490,117550,114570,107220,104440,103280,101660,95570,88480,85110
13-0000,MN,62260,59770,59300,58210,56510,55650,56760,56010,52600,48850,46380
13-1081,MN,72640,70970,67550,67040,65360,*,66420,*,*,*,*
13-1111,MN,88550,88590,86920,83130,76590,71560,72940,71730,67900,68260,61770
15-0000,MN,75860,75470,74430,71710,68810,67320,66610,64430,61120,59200,57900
15-1011,MN,*,102180,99250,117580,112160,*,*,*,91820,*,75030
15-1021,MN,*,69800,69280,68420,67490,67990,68670,64500,60180,61670,61680
15-1031,MN,*,87550,86500,81680,77620,75430,76280,74370,71630,68210,66500
15-1032,MN,*,97450,93790,91830,86330,82430,82550,78460,74810,72780,68690
15-1041,MN,*,47700,48250,45470,44840,44710,45200,43280,41220,40390,38880
15-1051,MN,*,75900,74430,73460,70090,67320,66640,66100,64350,63340,62450
15-1061,MN,*,79520,76660,69800,68430,67340,67990,65430,59290,58650,58780
15-1071,MN,*,70040,70180,67730,63670,60920,61410,58800,55760,53910,52120
15-1081,MN,*,83210,81190,78050,73190,70510,66590,63270,60820,56020,54550
15-1099,MN,*,73740,73570,70230,67270,67110,62730,*,*,*,*
15-1111,MN,91860,*,*,*,*,*,*,*,*,*,*
15-1121,MN,76020,*,*,*,*,*,*,*,*,*,*
15-1131,MN,70010,*,*,*,*,*,*,*,*,*,*
15-1132,MN,88490,*,*,*,*,*,*,*,*,*,*
15-1133,MN,94130,*,*,*,*,*,*,*,*,*,*
15-1141,MN,79950,*,*,*,*,*,*,*,*,*,*
15-1142,MN,69510,*,*,*,*,*,*,*,*,*,*
15-1150,MN,50640,*,*,*,*,*,*,*,*,*,*
15-1179,MN,81300,*,*,*,*,*,*,*,*,*,*
15-1799,MN,75060,*,*,*,*,*,*,*,*,*,*
15-2031,MN,70070,68510,75930,71790,68540,54600,52450,49460,49960,50530,51090
17-0000,MN,69440,68240,66910,64460,61520,60540,60180,57940,55430,54210,52410
17-2061,MN,95840,99100,93560,90540,86760,83930,84410,82830,*,73600,69160
17-2112,MN,78560,77850,77290,75000,72070,69590,69910,68770,64650,65390,62740
17-3026,MN,48180,47510,46800,45330,44900,44000,44410,43250,42590,46800,46050
19-0000,MN,63390,65540,64220,62560,60010,57460,56210,54570,52770,52030,50510
25-1021,MN,73150,73410,74160,66800,61300,60480,60110,62140,62820,56970,56990
27-0000,MN,48090,48650,49870,48960,45970,43280,44130,43350,42010,39750,37570
27-1014,MN,51160,51010,47040,47470,41510,44770,45690,48420,44560,45440,42900
27-1024,MN,45640,46220,45880,44770,43250,41360,41200,40710,37870,37830,37490
27-3042,MN,62960,63510,62750,60150,57200,56250,56260,55900,54560,51040,50000
29-2071,MN,38390,37630,36170,34710,33170,31170,30280,28460,26910,25800,24850
41-4011,MN,91420,92970,91820,85090,79320,79310,75130,74300,73630,65660,67410
43-9011,MN,38010,37150,37920,36710,34870,33590,33300,32990,32420,32430,31850
43-9021,MN,28920,28420,27920,27160,26800,26260,25740,25060,23850,23250,22950
43-9031,MN,39240,40170,39310,38110,37920,38220,36090,33710,34970,34420,34000
45-0000,MN,28310,27480,28420,28280,28040,27500,26290,25550,25700,25220,24960
49-2011,MN,45150,44260,40440,38730,38040,37540,34870,35900,36760,36800,35020
51-4011,MN,38600,39620,38280,36650,35390,35890,35860,34290,34020,33350,32630
51-4012,MN,52260,51510,47440,47960,47590,45770,43580,41270,42330,43260,43580
11-3021,MS,76180,77630,75740,75700,73490,64550,64040,62410,61280,58200,56360
13-0000,MS,52730,50710,50280,48260,47290,45080,43750,43380,41230,39950,38960
13-1081,MS,63690,63040,55520,52010,48340,52270,52780,*,*,*,*
13-1111,MS,62820,60670,61750,59860,57140,54560,52300,54060,51490,50050,47080
15-0000,MS,54220,54720,54030,53060,51160,46540,45190,43290,44680,44070,41320
15-1011,MS,*,79660,77940,79510,74140,71050,68650,69260,66350,64510,59170
15-1021,MS,*,50900,50990,51940,55250,51100,51040,48170,45640,43370,41590
15-1031,MS,*,66840,68900,65760,63930,57370,54400,55110,53250,49920,47420
15-1032,MS,*,80450,72680,70850,63700,68800,63290,65360,63490,73360,60890
15-1041,MS,*,38670,37560,37900,35920,31110,30360,28970,34110,33600,32550
15-1051,MS,*,57660,58240,55910,53810,54330,53610,52590,50740,46630,45720
15-1061,MS,*,51680,51840,52810,54200,53600,50140,47020,46120,45350,46770
15-1071,MS,*,52360,52820,51740,49100,47600,45760,45470,43430,39920,38910
15-1081,MS,*,58270,58500,53960,48570,45960,44620,46140,48860,43760,42240
15-1099,MS,*,75870,73320,68680,66520,45520,43800,*,*,*,*
15-1111,MS,80080,*,*,*,*,*,*,*,*,*,*
15-1121,MS,57770,*,*,*,*,*,*,*,*,*,*
15-1131,MS,53960,*,*,*,*,*,*,*,*,*,*
15-1132,MS,70120,*,*,*,*,*,*,*,*,*,*
15-1133,MS,75250,*,*,*,*,*,*,*,*,*,*
15-1141,MS,52710,*,*,*,*,*,*,*,*,*,*
15-1142,MS,52330,*,*,*,*,*,*,*,*,*,*
15-1150,MS,39330,*,*,*,*,*,*,*,*,*,*
15-1179,MS,59140,*,*,*,*,*,*,*,*,*,*
