OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
13-0000,AR,54680,52170,52190,48790,47040,45190,45350,43400,42320,40480,39520
13-1081,AR,59550,59670,61660,61220,59940,60740,-1,*,*,*,*
13-1111,AR,68740,59860,60170,56680,55950,53920,54120,47070,43630,40320,41770
15-0000,AR,58100,57300,57010,54380,51790,49170,48180,45470,47080,42510,41860
15-1011,AR,*,*,*,*,45940,45470,*,77300,*,*,*
15-1021,AR,*,63610,61640,64640,57730,56630,53310,46710,48690,43880,46950
15-1031,AR,*,64150,66060,64380,62550,60470,58430,48260,50990,49300,50030
15-1032,AR,*,71400,73590,70430,72020,65780,64410,67530,57130,54340,58260
15-1041,AR,*,37480,38020,37510,35870,33680,33870,32870,32170,29530,27360
15-1051,AR,*,61700,60430,60190,57630,53800,54320,51770,53910,48130,46220
15-1061,AR,*,60960,65660,62760,60900,47770,47310,44270,*,*,*
15-1071,AR,*,59200,58160,52800,50950,51010,51180,46710,45690,42290,44700
15-1081,AR,*,68300,67170,59180,59820,50290,48890,44730,44430,42440,41000
15-1099,AR,*,56200,57410,50880,52270,50500,47670,*,*,*,*
15-1111,AR,-1,*,*,*,*,*,*,*,*,*,*
15-1121,AR,63070,*,*,*,*,*,*,*,*,*,*
15-1131,AR,62120,*,*,*,*,*,*,*,*,*,*
15-1132,AR,67650,*,*,*,*,*,*,*,*,*,*
15-1133,AR,74850,*,*,*,*,*,*,*,*,*,*
15-1141,AR,62400,*,*,*,*,*,*,*,*,*,*
15-1142,AR,61140,*,*,*,*,*,*,*,*,*,*
15-1150,AR,39210,*,*,*,*,*,*,*,*,*,*
15-1179,AR,68780,*,*,*,*,*,*,*,*,*,*
15-1799,AR,49930,*,*,*,*,*,*,*,*,*,*
15-2031,AR,51980,52320,54890,53290,48190,55690,53820,52050,*,48420,45640
17-0000,AR,61430,60880,62510,58630,53990,50970,50280,48350,48130,46620,45280
17-2061,AR,89740,89380,94360,88130,84430,79210,75180,67220,62980,57590,61520
17-2112,AR,67710,66370,64550,60890,59400,57220,57320,56220,56520,54270,52460
17-3026,AR,43180,41520,41160,41550,41310,39050,39650,38100,44430,36810,35280
19-0000,AR,54790,52360,51320,51130,50210,48790,46650,42490,39850,39310,39070
25-1021,AR,62650,69430,64800,62540,*,40870,40900,40240,45900,44100,41710
27-0000,AR,38810,37590,36170,35510,33930,32290,31450,29090,28580,29920,28790
27-1014,AR,60780,61340,43890,51630,45520,42270,33250,29750,28520,28610,30370
27-1024,AR,36580,36030,34960,34100,32430,31930,30310,29190,28850,27650,27890
27-3042,AR,45660,47410,45120,41380,39610,39590,45670,47260,56220,44020,44010
29-2071,AR,31050,30500,28850,28330,26590,26320,26450,24130,23170,23170,21810
41-4011,AR,75070,65240,63140,60450,53430,49910,49880,56390,51880,48220,46470
43-9011,AR,30050,30100,29540,28280,26650,25930,25880,26490,26280,25640,23860
43-9021,AR,26640,25520,25000,23960,22580,20250,20750,20490,20400,20580,21660
43-9031,AR,31480,33020,29370,25610,21130,25100,25940,25710,26540,21950,20640
45-0000,AR,27570,28590,27640,27310,26040,25430,24220,25020,21620,20270,18060
49-2011,AR,36000,38320,37700,34750,31070,30150,29010,31610,30260,32070,27580
51-4011,AR,34390,32350,32250,32310,29800,29150,27840,27130,27880,26820,26000
51-4012,AR,46470,46990,45250,40880,37330,36530,33310,32060,31540,31180,32130
11-3021,CA,141410,136720,133660,125720,120600,117320,114900,111640,104700,94700,89800
13-0000,CA,74280,71650,71280,67260,65120,62630,61900,61430,58150,54590,51600
13-1081,CA,79260,75860,75440,72290,70090,66320,65540,*,*,*,*
