OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
13-1111;LA;Houma, LA MSA;*;*;*;*;*;*;42010;52810;*;*;*
15-0000;LA;Houma, LA MSA;*;*;*;*;*;*;47670;45980;42700;44740;42050
15-1021;LA;Houma, LA MSA;*;*;*;*;*;*;47110;47510;42870;47290;*
15-1032;LA;Houma, LA MSA;*;*;*;*;*;*;43920;*;*;*;*
15-1041;LA;Houma, LA MSA;*;*;*;*;*;*;45200;42640;40970;39590;32400
15-1051;LA;Houma, LA MSA;*;*;*;*;*;*;*;*;*;44550;43830
17-0000;LA;Houma, LA MSA;*;*;*;*;*;*;55480;52860;50840;48000;47600
17-2112;LA;Houma, LA MSA;*;*;*;*;*;*;*;*;*;*;55870
17-3026;LA;Houma, LA MSA;*;*;*;*;*;*;*;38650;38690;38900;36330
19-0000;LA;Houma, LA MSA;*;*;*;*;*;*;45540;47140;45360;48250;36900
27-0000;LA;Houma, LA MSA;*;*;*;*;*;*;29060;28340;28320;29190;23030
27-1024;LA;Houma, LA MSA;*;*;*;*;*;*;*;*;*;*;24490
29-2071;LA;Houma, LA MSA;*;*;*;*;*;*;26000;19480;20770;20300;20330
41-4011;LA;Houma, LA MSA;*;*;*;*;*;*;58170;52820;50200;46750;33640
43-9011;LA;Houma, LA MSA;*;*;*;*;*;*;31930;*;28310;23630;21590
43-9021;LA;Houma, LA MSA;*;*;*;*;*;*;21770;20500;18980;16620;15850
45-0000;LA;Houma, LA MSA;*;*;*;*;*;*;19470;18880;17500;16350;15060
51-4011;LA;Houma, LA MSA;*;*;*;*;*;*;*;26360;*;*;24560
00-0000;LA;Monroe, LA;34740;32890;32250;30950;30420;29910;*;*;*;*;*
11-3021;LA;Monroe, LA;92320;75830;75090;86790;82480;67820;*;*;*;*;*
13-0000;LA;Monroe, LA;52650;50810;47020;42810;43130;44360;*;*;*;*;*
13-1111;LA;Monroe, LA;43020;48190;39930;43490;46070;49690;*;*;*;*;*
15-0000;LA;Monroe, LA;51210;45620;44780;44300;45820;49070;*;*;*;*;*
15-1021;LA;Monroe, LA;*;50170;66720;62170;58490;85990;*;*;*;*;*
15-1031;LA;Monroe, LA;*;*;52600;51640;*;*;*;*;*;*;*
15-1041;LA;Monroe, LA;*;31950;30490;30330;31280;31500;*;*;*;*;*
15-1051;LA;Monroe, LA;*;44630;42810;43990;*;49370;*;*;*;*;*
15-1071;LA;Monroe, LA;*;47380;48190;49490;46610;41840;*;*;*;*;*
15-1081;LA;Monroe, LA;*;50710;47560;51190;*;51120;*;*;*;*;*
15-1099;LA;Monroe, LA;*;*;39180;32870;*;*;*;*;*;*;*
15-1121;LA;Monroe, LA;57890;*;*;*;*;*;*;*;*;*;*
15-1131;LA;Monroe, LA;45240;*;*;*;*;*;*;*;*;*;*
15-1142;LA;Monroe, LA;50630;*;*;*;*;*;*;*;*;*;*
15-1150;LA;Monroe, LA;42050;*;*;*;*;*;*;*;*;*;*
15-1179;LA;Monroe, LA;44660;*;*;*;*;*;*;*;*;*;*
15-1799;LA;Monroe, LA;45010;*;*;*;*;*;*;*;*;*;*
17-0000;LA;Monroe, LA;67160;56000;51550;52780;54460;51990;*;*;*;*;*
17-2112;LA;Monroe, LA;78490;47560;*;*;61500;59500;*;*;*;*;*
19-0000;LA;Monroe, LA;52690;51100;48000;44090;48280;48240;*;*;*;*;*
27-0000;LA;Monroe, LA;37120;37940;34560;32370;25450;23930;*;*;*;*;*
27-1024;LA;Monroe, LA;35440;36450;40360;31800;30380;29250;*;*;*;*;*
29-2071;LA;Monroe, LA;28790;28810;28630;26060;24370;22100;*;*;*;*;*
41-4011;LA;Monroe, LA;43390;50840;53400;*;-1;64710;*;*;*;*;*
43-9011;LA;Monroe, LA;*;*;31050;28730;29970;31930;*;*;*;*;*
43-9021;LA;Monroe, LA;28960;24620;21990;20960;20470;20880;*;*;*;*;*
45-0000;LA;Monroe, LA;33590;29380;29020;29560;31890;27700;*;*;*;*;*
49-2011;LA;Monroe, LA;35220;37240;31180;29730;25750;29800;*;*;*;*;*
00-0000;LA;New Orleans-Metairie-Kenner, LA;41010;39210;37990;36640;35650;32750;*;*;*;*;*
11-3021;LA;New Orleans-Metairie-Kenner, LA;89880;79510;81470;83940;81650;80140;*;*;*;*;*
13-0000;LA;New Orleans-Metairie-Kenner, LA;56420;54140;54240;53220;53130;49960;*;*;*;*;*
13-1081;LA;New Orleans-Metairie-Kenner, LA;65420;63850;66230;66440;69260;*;*;*;*;*;*
13-1111;LA;New Orleans-Metairie-Kenner, LA;70370;66030;73050;72660;71040;65300;*;*;*;*;*
15-0000;LA;New Orleans-Metairie-Kenner, LA;62460;60520;60040;60060;58350;55080;*;*;*;*;*
15-1021;LA;New Orleans-Metairie-Kenner, LA;*;50580;56150;56170;58690;52050;*;*;*;*;*
15-1031;LA;New Orleans-Metairie-Kenner, LA;*;80780;80830;77050;69760;66460;*;*;*;*;*
15-1032;LA;New Orleans-Metairie-Kenner, LA;*;75010;74800;85840;78680;72190;*;*;*;*;*
15-1041;LA;New Orleans-Metairie-Kenner, LA;*;44430;39610;40840;39400;38660;*;*;*;*;*
15-1051;LA;New Orleans-Metairie-Kenner, LA;*;55530;61300;64320;62330;64280;*;*;*;*;*
15-1061;LA;New Orleans-Metairie-Kenner, LA;*;64820;64720;66800;69890;63380;*;*;*;*;*
15-1071;LA;New Orleans-Metairie-Kenner, LA;*;58080;59290;60380;59880;56070;*;*;*;*;*
15-1081;LA;New Orleans-Metairie-Kenner, LA;*;55510;56980;53550;54780;50750;*;*;*;*;*
15-1099;LA;New Orleans-Metairie-Kenner, LA;*;81980;80200;73540;66330;39390;*;*;*;*;*
15-1121;LA;New Orleans-Metairie-Kenner, LA;59070;*;*;*;*;*;*;*;*;*;*
15-1131;LA;New Orleans-Metairie-Kenner, LA;57600;*;*;*;*;*;*;*;*;*;*
15-1132;LA;New Orleans-Metairie-Kenner, LA;82120;*;*;*;*;*;*;*;*;*;*
15-1133;LA;New Orleans-Metairie-Kenner, LA;74780;*;*;*;*;*;*;*;*;*;*
15-1141;LA;New Orleans-Metairie-Kenner, LA;70240;*;*;*;*;*;*;*;*;*;*
15-1142;LA;New Orleans-Metairie-Kenner, LA;63370;*;*;*;*;*;*;*;*;*;*
15-1150;LA;New Orleans-Metairie-Kenner, LA;45650;*;*;*;*;*;*;*;*;*;*
15-1179;LA;New Orleans-Metairie-Kenner, LA;58420;*;*;*;*;*;*;*;*;*;*
15-1799;LA;New Orleans-Metairie-Kenner, LA;81080;*;*;*;*;*;*;*;*;*;*
15-2031;LA;New Orleans-Metairie-Kenner, LA;64450;58450;45890;53860;55440;54460;*;*;*;*;*
17-0000;LA;New Orleans-Metairie-Kenner, LA;79900;70140;66810;62840;62390;59060;*;*;*;*;*
17-2061;LA;New Orleans-Metairie-Kenner, LA;*;*;*;46680;*;75580;*;*;*;*;*
17-2112;LA;New Orleans-Metairie-Kenner, LA;77660;63140;61270;65280;66430;65200;*;*;*;*;*
17-3026;LA;New Orleans-Metairie-Kenner, LA;53070;64630;65150;64290;56300;48760;*;*;*;*;*
19-0000;LA;New Orleans-Metairie-Kenner, LA;63840;61510;60060;57410;56130;55310;*;*;*;*;*
25-1021;LA;New Orleans-Metairie-Kenner, LA;68580;59410;53990;52050;55600;57440;*;*;*;*;*
27-0000;LA;New Orleans-Metairie-Kenner, LA;41890;40810;41540;38900;33650;30220;*;*;*;*;*
27-1014;LA;New Orleans-Metairie-Kenner, LA;68180;*;*;*;*;*;*;*;*;*;*
27-1024;LA;New Orleans-Metairie-Kenner, LA;44170;41660;41390;37780;38020;31820;*;*;*;*;*
27-3042;LA;New Orleans-Metairie-Kenner, LA;53400;51230;49970;52310;51140;47710;*;*;*;*;*
29-2071;LA;New Orleans-Metairie-Kenner, LA;32210;32030;29950;26590;25940;24490;*;*;*;*;*
41-4011;LA;New Orleans-Metairie-Kenner, LA;64870;63060;62190;65060;66080;61580;*;*;*;*;*
43-9011;LA;New Orleans-Metairie-Kenner, LA;38300;34650;32340;34950;32680;29990;*;*;*;*;*
43-9021;LA;New Orleans-Metairie-Kenner, LA;28050;27690;25600;23840;22110;21880;*;*;*;*;*
43-9031;LA;New Orleans-Metairie-Kenner, LA;36000;*;*;*;32880;27850;*;*;*;*;*
45-0000;LA;New Orleans-Metairie-Kenner, LA;33610;32450;32020;29530;30160;26070;*;*;*;*;*
49-2011;LA;New Orleans-Metairie-Kenner, LA;41530;40870;36560;36410;35080;35790;*;*;*;*;*
51-4011;LA;New Orleans-Metairie-Kenner, LA;42280;41950;*;28030;27050;27210;*;*;*;*;*
51-4012;LA;New Orleans-Metairie-Kenner, LA;48820;*;*;*;*;*;30160;29880;29610;28590;*
11-3021;LA;Lafayette, LA MSA;*;*;*;*;*;*;65200;62800;60710;55330;48550
13-0000;LA;Lafayette, LA MSA;*;*;*;*;*;*;44250;45910;45730;42220;41690
13-1111;LA;Lafayette, LA MSA;*;*;*;*;*;*;66700;86120;79700;48120;48740
15-0000;LA;Lafayette, LA MSA;*;*;*;*;*;*;48940;40490;39820;45410;43090
15-1021;LA;Lafayette, LA MSA;*;*;*;*;*;*;49810;50180;47990;46970;41300
15-1031;LA;Lafayette, LA MSA;*;*;*;*;*;*;57290;52480;49210;50880;47970
15-1032;LA;Lafayette, LA MSA;*;*;*;*;*;*;*;57710;59790;60450;57750
15-1041;LA;Lafayette, LA MSA;*;*;*;*;*;*;47660;39270;39290;37430;39440
15-1051;LA;Lafayette, LA MSA;*;*;*;*;*;*;55990;58450;55830;53740;57200
15-1061;LA;Lafayette, LA MSA;*;*;*;*;*;*;47760;52820;51350;56880;*
15-1071;LA;Lafayette, LA MSA;*;*;*;*;*;*;49280;50840;47940;49600;45450
15-1081;LA;Lafayette, LA MSA;*;*;*;*;*;*;39170;*;49060;54030;55960
15-1099;LA;Lafayette, LA MSA;*;*;*;*;*;*;31920;*;*;*;42530
17-0000;LA;Lafayette, LA MSA;*;*;*;*;*;*;49960;51050;48800;45960;43420
17-2112;LA;Lafayette, LA MSA;*;*;*;*;*;*;58810;56990;59790;*;*
19-0000;LA;Lafayette, LA MSA;*;*;*;*;*;*;-1;56630;57120;50930;49460
27-0000;LA;Lafayette, LA MSA;*;*;*;*;*;*;30210;26070;27410;27430;25830
27-1024;LA;Lafayette, LA MSA;*;*;*;*;*;*;31570;24520;24470;25620;22820
29-2071;LA;Lafayette, LA MSA;*;*;*;*;*;*;23960;25150;24010;24200;22020
41-4011;LA;Lafayette, LA MSA;*;*;*;*;*;*;60770;55160;57790;50570;44930
43-9011;LA;Lafayette, LA MSA;*;*;*;*;*;*;26030;27570;27060;23850;24390
43-9021;LA;Lafayette, LA MSA;*;*;*;*;*;*;19160;19310;18230;17860;16840
43-9031;LA;Lafayette, LA MSA;*;*;*;*;*;*;*;*;*;*;19930
45-0000;LA;Lafayette, LA MSA;*;*;*;*;*;*;24160;24270;22440;21270;18100
49-2011;LA;Lafayette, LA MSA;*;*;*;*;*;*;31900;34220;36060;34570;31710
51-4011;LA;Lafayette, LA MSA;*;*;*;*;*;*;29360;24700;*;25240;*
00-0000;LA;Lake Charles, LA MSA;*;*;*;*;*;*;31480;31110;30430;30030;*
11-3021;LA;Lake Charles, LA MSA;*;*;*;*;*;*;68500;64120;62680;62370;60510
13-0000;LA;Lake Charles, LA MSA;*;*;*;*;*;*;45230;47000;43640;47210;43910
13-1111;LA;Lake Charles, LA MSA;*;*;*;*;*;*;*;64570;61420;62980;60620
15-0000;LA;Lake Charles, LA MSA;*;*;*;*;*;*;46120;45640;44210;48720;47620
15-1021;LA;Lake Charles, LA MSA;*;*;*;*;*;*;53630;49840;51610;45650;45470
15-1032;LA;Lake Charles, LA MSA;*;*;*;*;*;*;53820;*;*;*;*
15-1041;LA;Lake Charles, LA MSA;*;*;*;*;*;*;36440;37190;39500;37250;35680
15-1051;LA;Lake Charles, LA MSA;*;*;*;*;*;*;56780;54910;53950;55690;54980
15-1071;LA;Lake Charles, LA MSA;*;*;*;*;*;*;66780;69110;69250;50340;47240
15-1081;LA;Lake Charles, LA MSA;*;*;*;*;*;*;50450;*;*;*;*
15-1099;LA;Lake Charles, LA MSA;*;*;*;*;*;*;30650;*;*;*;*
17-0000;LA;Lake Charles, LA MSA;*;*;*;*;*;*;64700;62230;60210;60070;55160
17-2112;LA;Lake Charles, LA MSA;*;*;*;*;*;*;85260;74300;76910;73540;60550
17-3026;LA;Lake Charles, LA MSA;*;*;*;*;*;*;55090;*;*;*;*
19-0000;LA;Lake Charles, LA MSA;*;*;*;*;*;*;51110;51360;51420;54880;51900
27-0000;LA;Lake Charles, LA MSA;*;*;*;*;*;*;35910;27370;24400;24160;24930
27-1024;LA;Lake Charles, LA MSA;*;*;*;*;*;*;30090;*;*;20000;20700
29-2071;LA;Lake Charles, LA MSA;*;*;*;*;*;*;18210;17250;18770;17730;16540
41-4011;LA;Lake Charles, LA MSA;*;*;*;*;*;*;53590;41860;44610;39040;37250
43-9011;LA;Lake Charles, LA MSA;*;*;*;*;*;*;26240;27710;25400;24890;21580
43-9021;LA;Lake Charles, LA MSA;*;*;*;*;*;*;20100;18820;19410;16830;16390
45-0000;LA;Lake Charles, LA MSA;*;*;*;*;*;*;28160;26860;23790;24120;21920
49-2011;LA;Lake Charles, LA MSA;*;*;*;*;*;*;37150;35780;34590;32530;25690
00-0000;LA;Shreveport-Bossier City, LA;36640;35020;34390;32940;31900;30920;*;*;*;*;*
11-3021;LA;Shreveport-Bossier City, LA;86610;77210;74170;69500;65600;54630;*;*;*;*;*
13-0000;LA;Shreveport-Bossier City, LA;54100;51650;47600;46470;46060;48240;*;*;*;*;*
13-1081;LA;Shreveport-Bossier City, LA;70400;67820;64690;*;*;*;*;*;*;*;*
13-1111;LA;Shreveport-Bossier City, LA;64010;57710;65420;60320;51740;54040;*;*;*;*;*
15-0000;LA;Shreveport-Bossier City, LA;58750;54370;50540;48290;48590;47220;*;*;*;*;*
15-1021;LA;Shreveport-Bossier City, LA;*;53110;48590;47810;49640;41760;*;*;*;*;*
15-1031;LA;Shreveport-Bossier City, LA;*;75130;63960;75810;67440;72420;*;*;*;*;*
15-1032;LA;Shreveport-Bossier City, LA;*;61460;51600;45300;56740;62210;*;*;*;*;*
15-1041;LA;Shreveport-Bossier City, LA;*;44890;42970;41520;39310;35470;*;*;*;*;*
15-1051;LA;Shreveport-Bossier City, LA;*;65750;65190;55250;57250;58330;*;*;*;*;*
15-1061;LA;Shreveport-Bossier City, LA;*;*;*;52580;50640;40810;*;*;*;*;*
15-1071;LA;Shreveport-Bossier City, LA;*;54350;52230;47350;48130;45450;*;*;*;*;*
15-1081;LA;Shreveport-Bossier City, LA;*;43980;42380;44180;41740;41570;*;*;*;*;*
15-1099;LA;Shreveport-Bossier City, LA;*;67550;66270;59830;51630;37610;*;*;*;*;*
15-1121;LA;Shreveport-Bossier City, LA;63940;*;*;*;*;*;*;*;*;*;*
15-1131;LA;Shreveport-Bossier City, LA;64100;*;*;*;*;*;*;*;*;*;*
15-1132;LA;Shreveport-Bossier City, LA;74840;*;*;*;*;*;*;*;*;*;*
15-1133;LA;Shreveport-Bossier City, LA;64700;*;*;*;*;*;*;*;*;*;*
15-1141;LA;Shreveport-Bossier City, LA;59010;*;*;*;*;*;*;*;*;*;*
15-1142;LA;Shreveport-Bossier City, LA;62210;*;*;*;*;*;*;*;*;*;*
15-1150;LA;Shreveport-Bossier City, LA;45810;*;*;*;*;*;*;*;*;*;*
15-1179;LA;Shreveport-Bossier City, LA;48310;*;*;*;*;*;*;*;*;*;*
15-1799;LA;Shreveport-Bossier City, LA;69320;*;*;*;*;*;*;*;*;*;*
17-0000;LA;Shreveport-Bossier City, LA;57800;57550;53760;54590;52340;55010;*;*;*;*;*
17-2112;LA;Shreveport-Bossier City, LA;*;-1;73370;72790;69360;67580;*;*;*;*;*
17-3026;LA;Shreveport-Bossier City, LA;45320;46720;43100;*;39100;37790;*;*;*;*;*
19-0000;LA;Shreveport-Bossier City, LA;60670;53600;53300;47590;44970;45080;*;*;*;*;*
25-1021;LA;Shreveport-Bossier City, LA;*;47410;47180;*;*;*;*;*;*;*;*
27-0000;LA;Shreveport-Bossier City, LA;35840;34010;32620;31390;29420;30420;*;*;*;*;*
27-1024;LA;Shreveport-Bossier City, LA;33710;33370;31650;29060;29790;26250;*;*;*;*;*
29-2071;LA;Shreveport-Bossier City, LA;26350;24070;22940;22910;23650;22130;*;*;*;*;*
41-4011;LA;Shreveport-Bossier City, LA;84810;87170;-1;44210;40270;37990;*;*;*;*;*
43-9011;LA;Shreveport-Bossier City, LA;31400;31120;30550;27560;29010;29540;*;*;*;*;*
43-9021;LA;Shreveport-Bossier City, LA;26910;25850;23750;23320;21530;21510;*;*;*;*;*
45-0000;LA;Shreveport-Bossier City, LA;33080;29220;27090;24570;25780;27070;*;*;*;*;*
49-2011;LA;Shreveport-Bossier City, LA;*;23580;35790;35020;35350;34020;*;*;*;*;*
51-4011;LA;Shreveport-Bossier City, LA;*;*;28720;*;30610;29660;29760;28320;28180;27160;*
11-3021;LA;Monroe, LA MSA;*;*;*;*;*;*;63810;57350;56560;51690;48180
13-0000;LA;Monroe, LA MSA;*;*;*;*;*;*;44050;44250;42340;39790;38950
13-1111;LA;Monroe, LA MSA;*;*;*;*;*;*;50910;*;*;*;40260
15-0000;LA;Monroe, LA MSA;*;*;*;*;*;*;46590;49660;47020;42740;41600
15-1021;LA;Monroe, LA MSA;*;*;*;*;*;*;63830;63580;45520;40970;36770
15-1031;LA;Monroe, LA MSA;*;*;*;*;*;*;49770;*;*;*;*
15-1041;LA;Monroe, LA MSA;*;*;*;*;*;*;32130;35400;37010;36590;35340
15-1051;LA;Monroe, LA MSA;*;*;*;*;*;*;50200;50590;51690;49820;44190
15-1071;LA;Monroe, LA MSA;*;*;*;*;*;*;44690;39100;37420;38780;43000
15-1081;LA;Monroe, LA MSA;*;*;*;*;*;*;52690;*;*;*;*
17-0000;LA;Monroe, LA MSA;*;*;*;*;*;*;48330;50320;50420;49610;47300
17-2061;LA;Monroe, LA MSA;*;*;*;*;*;*;62660;*;*;*;*
17-2112;LA;Monroe, LA MSA;*;*;*;*;*;*;60030;64980;68590;59410;54350
19-0000;LA;Monroe, LA MSA;*;*;*;*;*;*;48510;49920;45760;48250;48390
27-0000;LA;Monroe, LA MSA;*;*;*;*;*;*;25950;27890;27700;28300;26600
27-1024;LA;Monroe, LA MSA;*;*;*;*;*;*;29780;30320;33760;31760;32440
29-2071;LA;Monroe, LA MSA;*;*;*;*;*;*;21120;19730;20540;20350;21950
41-4011;LA;Monroe, LA MSA;*;*;*;*;*;*;60360;40520;40110;41060;38500
43-9011;LA;Monroe, LA MSA;*;*;*;*;*;*;31280;28960;27150;26540;25060
43-9021;LA;Monroe, LA MSA;*;*;*;*;*;*;18750;18780;16980;16590;17030
45-0000;LA;Monroe, LA MSA;*;*;*;*;*;*;30690;17080;16380;15270;26320
49-2011;LA;Monroe, LA MSA;*;*;*;*;*;*;29660;27170;26330;25840;25230
51-4011;LA;Monroe, LA MSA;*;*;*;*;*;*;*;*;*;*;26040
00-0000;LA;New Orleans, LA MSA;*;*;*;*;*;*;32660;31750;31560;30280;*
11-3021;LA;New Orleans, LA MSA;*;*;*;*;*;*;69640;62080;61430;69930;64920
13-0000;LA;New Orleans, LA MSA;*;*;*;*;*;*;49180;47730;46670;42250;41780
13-1081;LA;New Orleans, LA MSA;*;*;*;*;*;*;59290;*;*;*;*
13-1111;LA;New Orleans, LA MSA;*;*;*;*;*;*;61180;67320;65690;51660;55480
15-0000;LA;New Orleans, LA MSA;*;*;*;*;*;*;54650;57870;58290;52640;48730
15-1011;LA;New Orleans, LA MSA;*;*;*;*;*;*;*;48990;*;49460;48860
15-1021;LA;New Orleans, LA MSA;*;*;*;*;*;*;52770;52810;55190;56490;51230
15-1031;LA;New Orleans, LA MSA;*;*;*;*;*;*;66200;83460;75720;63910;60610
15-1032;LA;New Orleans, LA MSA;*;*;*;*;*;*;67690;66560;66420;66640;67410
15-1041;LA;New Orleans, LA MSA;*;*;*;*;*;*;39450;38320;39360;41510;40180
15-1051;LA;New Orleans, LA MSA;*;*;*;*;*;*;61620;56010;57830;51990;50360
15-1061;LA;New Orleans, LA MSA;*;*;*;*;*;*;61440;54830;52890;47830;45800
15-1071;LA;New Orleans, LA MSA;*;*;*;*;*;*;55870;79380;82810;72740;43960
15-1081;LA;New Orleans, LA MSA;*;*;*;*;*;*;48660;45900;43210;47060;56870
15-1099;LA;New Orleans, LA MSA;*;*;*;*;*;*;45210;*;*;*;*
15-2031;LA;New Orleans, LA MSA;*;*;*;*;*;*;56030;60470;58780;52590;52640
17-0000;LA;New Orleans, LA MSA;*;*;*;*;*;*;60250;60030;58810;58940;55700
17-2061;LA;New Orleans, LA MSA;*;*;*;*;*;*;*;*;*;*;64600
17-2112;LA;New Orleans, LA MSA;*;*;*;*;*;*;64970;71950;73140;71610;71460
17-3026;LA;New Orleans, LA MSA;*;*;*;*;*;*;53720;51600;*;64420;63390
19-0000;LA;New Orleans, LA MSA;*;*;*;*;*;*;54790;55880;56340;49460;47540
25-1021;LA;New Orleans, LA MSA;*;*;*;*;*;*;*;46290;53010;46540;*
27-0000;LA;New Orleans, LA MSA;*;*;*;*;*;*;29680;37860;36200;35100;32900
27-1014;LA;New Orleans, LA MSA;*;*;*;*;*;*;*;50570;40440;32580;31790
27-1024;LA;New Orleans, LA MSA;*;*;*;*;*;*;31280;30710;31590;30820;28210
27-3042;LA;New Orleans, LA MSA;*;*;*;*;*;*;46360;47220;45340;*;37750
29-2071;LA;New Orleans, LA MSA;*;*;*;*;*;*;24620;25950;25980;24310;23820
41-4011;LA;New Orleans, LA MSA;*;*;*;*;*;*;58510;53920;53460;55410;47780
43-9011;LA;New Orleans, LA MSA;*;*;*;*;*;*;28690;26870;28220;28850;26060
43-9021;LA;New Orleans, LA MSA;*;*;*;*;*;*;21270;21440;21410;19890;19550
43-9031;LA;New Orleans, LA MSA;*;*;*;*;*;*;28420;21890;24740;30550;27930
45-0000;LA;New Orleans, LA MSA;*;*;*;*;*;*;27220;26650;25970;26470;28180
49-2011;LA;New Orleans, LA MSA;*;*;*;*;*;*;36420;37660;35130;35480;31990
51-4011;LA;New Orleans, LA MSA;*;*;*;*;*;*;27940;28580;28310;*;*
00-0000;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;30260;29470;28850;27940;*
11-3021;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;57860;62520;62290;61210;56010
13-0000;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;45280;42470;42170;39760;37720
13-1111;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;55830;65970;57320;60730;67940
15-0000;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;54690;48620;51260;45040;44340
15-1021;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;47210;43050;46890;50040;54060
15-1031;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;60910;51740;54640;53910;51420
15-1032;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;62030;*;*;*;51840
15-1041;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;60150;47750;*;35940;32990
15-1051;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;63380;56900;58890;51630;49250
15-1061;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;54280;*;*;52550;48480
15-1071;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;48130;45070;41270;36430;31480
15-1081;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;43840;51020;51040;*;*
15-1099;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;37730;*;*;*;*
17-0000;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;50840;48430;47040;48620;45050
17-2061;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;*;*;*;*;56810
17-2112;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;65610;54990;58220;61200;61970
17-3026;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;37540;*;*;*;*
19-0000;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;42060;47410;46920;44020;42540
27-0000;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;29580;31890;31130;29810;28380
27-1014;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;*;*;31370;*;*
27-1024;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;29430;27910;27550;27080;23590
29-2071;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;21720;21610;21330;20640;20310
41-4011;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;45120;49820;40960;40580;43670
43-9011;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;29160;29220;27870;26890;25060
43-9021;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;20600;19580;19510;18810;19040
45-0000;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;24530;25340;24990;24330;26780
49-2011;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;32710;32380;33280;32700;31340
51-4011;LA;Shreveport-Bossier City, LA MSA;*;*;*;*;*;*;32020;29980;27920;27820;24570
00-0000;ME;Bangor, ME MSA;*;*;*;*;*;*;32570;31770;31120;29830;*
11-3021;ME;Bangor, ME MSA;*;*;*;*;*;*;67810;59250;59460;57810;52950
13-0000;ME;Bangor, ME MSA;*;*;*;*;*;*;46910;45060;41100;39510;36220
13-1111;ME;Bangor, ME MSA;*;*;*;*;*;*;60530;*;*;*;*
15-0000;ME;Bangor, ME MSA;*;*;*;*;*;*;47460;43350;41880;41420;39120
15-1021;ME;Bangor, ME MSA;*;*;*;*;*;*;48680;45720;44480;41750;41290
15-1031;ME;Bangor, ME MSA;*;*;*;*;*;*;*;*;*;*;55830
15-1041;ME;Bangor, ME MSA;*;*;*;*;*;*;33100;31800;32240;32340;31620
15-1051;ME;Bangor, ME MSA;*;*;*;*;*;*;55520;51030;46020;44600;38510
15-1061;ME;Bangor, ME MSA;*;*;*;*;*;*;46570;*;45910;42880;41340
15-1071;ME;Bangor, ME MSA;*;*;*;*;*;*;48320;44600;45020;43190;42700
15-1081;ME;Bangor, ME MSA;*;*;*;*;*;*;59640;*;*;*;*
17-0000;ME;Bangor, ME MSA;*;*;*;*;*;*;47160;46650;45620;43400;44580
17-2112;ME;Bangor, ME MSA;*;*;*;*;*;*;*;57160;57430;59870;*
19-0000;ME;Bangor, ME MSA;*;*;*;*;*;*;44020;41420;40440;40350;43040
27-0000;ME;Bangor, ME MSA;*;*;*;*;*;*;31310;31970;29080;29050;29430
27-1024;ME;Bangor, ME MSA;*;*;*;*;*;*;31310;31560;31480;31370;31530
29-2071;ME;Bangor, ME MSA;*;*;*;*;*;*;25430;23360;26820;27000;27070
41-4011;ME;Bangor, ME MSA;*;*;*;*;*;*;49980;*;61360;60440;72050
43-9011;ME;Bangor, ME MSA;*;*;*;*;*;*;35250;33110;32060;30580;28340
43-9021;ME;Bangor, ME MSA;*;*;*;*;*;*;23350;19420;20290;19590;16880
45-0000;ME;Bangor, ME MSA;*;*;*;*;*;*;26900;24350;25010;24290;22920
49-2011;ME;Bangor, ME MSA;*;*;*;*;*;*;30470;*;25790;24140;21540
51-4011;ME;Bangor, ME MSA;*;*;*;*;*;*;*;38870;38700;*;*
00-0000;ME;Northeast Maine nonmetropolitan area;34790;34220;33620;31830;30720;*;*;*;*;*;*
11-3021;ME;Northeast Maine nonmetropolitan area;74620;74570;70780;66150;62730;*;*;*;*;*;*
