OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
43-9011;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;29290;*;*;22410;21200
43-9021;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;20290;19280;17440;*;16930
43-9031;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;*;*;*;*;22360
45-0000;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;*;23600;21900;20600;20360
00-0000;AL;Birmingham, AL MSA;*;*;*;*;*;*;35210;34630;34160;32480;*
11-3021;AL;Birmingham, AL MSA;*;*;*;*;*;*;83100;77500;70120;63720;61880
13-0000;AL;Birmingham, AL MSA;*;*;*;*;*;*;53750;51320;50120;47640;44590
13-1081;AL;Birmingham, AL MSA;*;*;*;*;*;*;63250;*;*;*;*
13-1111;AL;Birmingham, AL MSA;*;*;*;*;*;*;71350;66820;62760;59540;63230
15-0000;AL;Birmingham, AL MSA;*;*;*;*;*;*;56950;58830;57000;54530;50290
15-1011;AL;Birmingham, AL MSA;*;*;*;*;*;*;*;77730;*;43700;32630
15-1021;AL;Birmingham, AL MSA;*;*;*;*;*;*;65340;64300;57460;50780;48350
15-1031;AL;Birmingham, AL MSA;*;*;*;*;*;*;66340;72210;70040;67600;63190
15-1032;AL;Birmingham, AL MSA;*;*;*;*;*;*;72680;70460;69380;71610;59120
15-1041;AL;Birmingham, AL MSA;*;*;*;*;*;*;38430;42730;42090;39380;34700
15-1051;AL;Birmingham, AL MSA;*;*;*;*;*;*;58370;57730;59520;58640;53700
15-1061;AL;Birmingham, AL MSA;*;*;*;*;*;*;55040;56530;55390;54460;51770
15-1071;AL;Birmingham, AL MSA;*;*;*;*;*;*;56670;55080;53100;50800;47860
15-1081;AL;Birmingham, AL MSA;*;*;*;*;*;*;55070;57460;60000;57070;51870
15-1099;AL;Birmingham, AL MSA;*;*;*;*;*;*;43310;*;*;*;*
15-2031;AL;Birmingham, AL MSA;*;*;*;*;*;*;59290;54020;56520;51180;40880
17-0000;AL;Birmingham, AL MSA;*;*;*;*;*;*;59890;58370;54610;52690;50700
17-2061;AL;Birmingham, AL MSA;*;*;*;*;*;*;79800;86710;79160;75690;68340
17-2112;AL;Birmingham, AL MSA;*;*;*;*;*;*;63330;67430;67810;66850;64190
17-3026;AL;Birmingham, AL MSA;*;*;*;*;*;*;48670;44200;43720;40990;40520
19-0000;AL;Birmingham, AL MSA;*;*;*;*;*;*;47330;46550;43960;42600;40080
25-1021;AL;Birmingham, AL MSA;*;*;*;*;*;*;51140;*;*;*;*
27-0000;AL;Birmingham, AL MSA;*;*;*;*;*;*;32640;35740;34120;34780;32400
27-1014;AL;Birmingham, AL MSA;*;*;*;*;*;*;*;42870;39320;38500;35710
27-1024;AL;Birmingham, AL MSA;*;*;*;*;*;*;37290;41160;38150;37420;35520
27-3042;AL;Birmingham, AL MSA;*;*;*;*;*;*;37280;43960;40260;41360;37330
29-2071;AL;Birmingham, AL MSA;*;*;*;*;*;*;23970;21840;22490;21400;20410
41-4011;AL;Birmingham, AL MSA;*;*;*;*;*;*;66800;69530;66970;56490;52470
43-9011;AL;Birmingham, AL MSA;*;*;*;*;*;*;27320;29360;30440;31410;28970
43-9021;AL;Birmingham, AL MSA;*;*;*;*;*;*;26240;23350;23070;23610;21400
43-9031;AL;Birmingham, AL MSA;*;*;*;*;*;*;*;28780;27810;28440;27730
45-0000;AL;Birmingham, AL MSA;*;*;*;*;*;*;20350;19600;20300;19410;20400
