NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
425110,CT,327,309,309,308,341,323,376,498,579,641,613
443120,CT,1485,1490,1687,1664,1777,1748,1760,1933,2236,2625,2871
454111,CT,0,0,0,0,0,0,0,0,0,0,*
51,CT,34738,38021,40750,41349,40740,41047,41908,42704,44330,47843,49203
511210,CT,1797,2022,2161,1604,1571,1579,1572,1667,1824,2087,2310
518,CT,1971,2122,2359,2992,4381,4253,4177,4326,4526,5139,5514
519130,CT,1305,1346,1554,1467,*,*,*,*,*,*,*
52,CT,115648,118418,122975,123506,123339,121686,120522,122618,122460,122092,121062
522320,CT,455,394,354,282,241,216,143,123,244,246,270
54151,CT,21131,20941,22328,21681,20199,18881,18390,18316,20025,23054,23338
611420,CT,91,72,114,120,122,148,187,228,410,456,525
811212,CT,295,302,260,248,246,256,281,299,338,341,342
811213,CT,241,248,246,270,246,233,240,119,138,151,188
10,DE,858628,864625,905922,905596,902239,891892,877721,858997,858223,866834,870021
11,DE,0,0,0,1307,1342,1432,1452,1422,1420,0,1733
323115,DE,37,46,41,32,24,26,22,17,0,10,*
33411,DE,7,0,5,0,4,4,0,0,0,0,*
334611,DE,0,0,0,0,0,0,0,0,0,0,*
423430,DE,176,210,242,273,317,326,327,327,370,480,618
425110,DE,130,141,157,140,133,99,118,159,205,229,208
443120,DE,347,285,0,0,0,762,696,663,623,626,636
454111,DE,106,114,92,84,59,39,0,0,0,0,*
51,DE,5972,6495,7058,6926,6710,6681,7069,7388,7745,8059,8151
511210,DE,111,100,146,114,92,88,70,117,102,94,83
518,DE,1140,1210,1385,1494,1579,1632,2167,2379,2581,2623,2485
519130,DE,51,50,56,38,*,*,*,*,*,*,*
52,DE,36891,38033,39061,38731,37625,38754,38314,39278,32438,33236,32734
522320,DE,510,654,836,922,904,831,211,112,157,314,305
54151,DE,3453,3304,3383,3193,4753,4951,4759,4205,3970,4203,4396
611420,DE,73,98,114,103,0,49,47,56,0,79,86
811212,DE,88,84,91,68,75,56,78,87,90,90,88
811213,DE,67,67,64,65,50,45,49,43,37,26,*
10,DC,1631885,1599145,1602476,1585469,1572735,1566863,1549451,1532163,1531368,1490185,1492219
11,DC,*,*,*,*,*,*,*,*,0,0,3
323115,DC,1503,1524,1587,1576,1667,1618,1661,1976,1886,1915,1930
33411,DC,0,0,0,0,0,10,11,16,39,62,55
334611,DC,0,54,48,43,0,0,0,0,0,0,*
423430,DC,1098,1013,966,908,932,947,1040,1104,1005,930,955
425110,DC,0,0,0,0,0,0,0,0,0,117,*
443120,DC,75,66,60,67,70,82,101,134,199,165,144
454111,DC,0,57,51,46,39,38,27,0,0,0,*
51,DC,22293,22953,24514,25909,26278,26864,28282,29089,29836,4349,30053
511210,DC,395,512,844,895,777,892,1022,1047,1253,1242,1029
518,DC,678,756,778,620,2744,2665,3175,2846,3053,2826,2991
519130,DC,510,338,511,626,*,*,*,*,*,*,*
52,DC,17436,16959,17775,18675,18652,19058,19546,19987,20500,20550,20147
522320,DC,0,34,34,0,103,102,168,180,175,250,191
54151,DC,18655,17766,16777,15887,16284,15573,13330,11596,10231,8723,8959
611420,DC,0,0,0,0,109,90,86,69,165,0,195
811212,DC,0,48,52,97,100,127,120,66,29,40,53
811213,DC,*,*,*,*,*,0,0,0,0,0,*
10,FL,15284082,15431404,16412917,16971019,16968986,16548325,15966072,15531169,15343678,15307220,15090276
11,FL,83582,88609,90205,91506,93936,94195,97398,99126,99816,100523,98912
323115,FL,999,936,1023,1048,793,725,560,399,354,418,395
33411,FL,2661,3199,3234,3284,3429,3310,3341,3099,3109,3531,3373
334611,FL,317,322,280,0,276,329,310,331,304,1032,239
423430,FL,13537,13800,15279,16288,15615,15195,14009,14421,14483,15436,15345
425110,FL,1804,2184,2686,2709,2827,3033,3648,4107,4232,4571,5422
443120,FL,7871,7767,8979,7925,8868,10634,10755,11089,12246,12487,13041
454111,FL,5463,6998,6764,5993,5062,4584,4509,4503,4115,3925,3750
51,FL,136696,143919,157506,162601,168223,169489,168217,172495,178731,189164,188503
511210,FL,8050,8683,9183,8764,8354,7931,6901,6379,6276,5910,5827
