OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15-1133,KY,2800,*,*,*,*,*,*,*,*,*,*
15-1141,KY,1040,*,*,*,*,*,*,*,*,*,*
15-1142,KY,2830,*,*,*,*,*,*,*,*,*,*
15-1150,KY,5890,*,*,*,*,*,*,*,*,*,*
15-1179,KY,2220,*,*,*,*,*,*,*,*,*,*
15-1799,KY,1180,*,*,*,*,*,*,*,*,*,*
15-2031,KY,380,370,440,320,310,370,380,330,*,220,190
17-0000,KY,22290,24130,23540,22470,22110,23120,23550,23460,22130,24500,25300
17-2061,KY,930,1350,1300,*,*,*,*,*,*,*,*
17-2112,KY,3070,3210,3320,3070,2910,3130,3020,2700,2300,2340,2700
17-3026,KY,610,850,910,700,500,610,580,540,380,450,560
19-0000,KY,9450,10710,10670,10560,10350,9920,9760,9340,9780,10000,9450
25-1021,KY,490,480,500,490,480,520,480,470,500,450,490
27-0000,KY,15770,16750,17700,17420,16350,15620,15550,15090,13390,13040,13030
27-1014,KY,80,60,40,-1,70,100,200,230,180,140,130
27-1024,KY,1730,1950,2020,1970,1640,1670,1460,1420,1210,1160,1360
27-3042,KY,240,350,430,480,270,300,240,270,250,270,200
29-2071,KY,2720,2950,2930,2690,2630,2490,2570,2430,2400,2110,2180
41-4011,KY,5590,5540,4830,4560,4150,4690,4490,5010,-1,4690,5270
43-9011,KY,1120,1040,1060,940,880,870,1050,1070,1230,1340,1300
43-9021,KY,2710,3350,4760,4460,5510,4380,4620,4910,6140,5880,6380
43-9031,KY,170,160,230,200,270,270,310,360,400,410,430
45-0000,KY,4710,4420,4800,4740,4510,4890,4510,5080,4900,5570,5870
49-2011,KY,3230,2500,2180,2100,1940,1620,1790,1980,1890,2570,2720
51-4011,KY,1430,1670,2090,2300,2370,2680,2810,2690,2530,3100,2690
51-4012,KY,140,200,170,160,100,160,220,310,380,390,400
11-3021,LA,1490,1420,1360,1300,1480,1760,2050,2320,2770,2550,2520
13-0000,LA,56670,57400,57520,59760,56890,53900,54380,53020,48530,47890,44830
13-1081,LA,660,650,550,330,210,*,570,*,*,*,*
13-1111,LA,2830,2590,2090,2030,2720,2640,2850,2500,1940,1980,1830
15-0000,LA,18060,16960,17100,16390,17590,19240,19660,18410,16480,16750,15990
15-1011,LA,*,210,190,230,*,*,*,290,60,-1,-1
15-1021,LA,*,2680,2840,2720,2790,3070,2960,2710,2740,3220,3350
15-1031,LA,*,1160,1180,1220,1460,1620,1690,1900,1620,950,750
15-1032,LA,*,800,740,800,850,1090,1110,1140,630,530,-1
15-1041,LA,*,3720,4050,4200,4220,4120,4260,3880,3020,3130,3290
15-1051,LA,*,3750,3360,1890,2220,3840,4020,3920,3670,4230,3520
15-1061,LA,*,400,430,440,480,420,480,480,430,510,400
15-1071,LA,*,1460,1320,1240,1170,1370,1490,1580,1630,1540,1670
15-1081,LA,*,920,1060,1280,1750,1760,1610,1020,570,590,410
15-1099,LA,*,1610,1600,2000,2150,1460,1550,*,*,*,*
15-1111,LA,40,*,*,*,*,*,*,*,*,*,*
15-1121,LA,3520,*,*,*,*,*,*,*,*,*,*
15-1131,LA,3010,*,*,*,*,*,*,*,*,*,*
15-1132,LA,830,*,*,*,*,*,*,*,*,*,*
15-1133,LA,850,*,*,*,*,*,*,*,*,*,*
15-1141,LA,410,*,*,*,*,*,*,*,*,*,*
15-1142,LA,1610,*,*,*,*,*,*,*,*,*,*
15-1150,LA,4650,*,*,*,*,*,*,*,*,*,*
15-1179,LA,1080,*,*,*,*,*,*,*,*,*,*
15-1799,LA,1420,*,*,*,*,*,*,*,*,*,*
15-2031,LA,560,170,220,260,200,210,190,160,210,260,370
17-0000,LA,32880,34750,33440,30180,28280,27060,27920,29250,30530,33120,31280
17-2061,LA,70,50,60,60,110,110,130,100,110,80,110
17-2112,LA,2530,2610,2310,1990,2020,1710,1770,1350,1230,1420,1320
17-3026,LA,340,580,630,530,350,410,420,340,410,530,460
19-0000,LA,11150,12270,12290,11930,12470,12550,13030,13390,12870,13900,12040
25-1021,LA,210,270,240,300,*,300,290,200,280,-1,170
27-0000,LA,15760,15950,17530,17590,16660,18280,17950,15190,14600,14890,15320
27-1014,LA,290,-1,190,90,100,130,120,140,290,340,140
27-1024,LA,1760,1730,1750,1290,1140,1060,1120,1050,870,1180,840
27-3042,LA,170,210,190,150,120,110,120,180,140,100,100
29-2071,LA,2470,2470,2370,2350,2270,2460,2410,2500,2220,2270,2200
41-4011,LA,3910,3730,4050,3840,4040,4530,5080,5890,5690,6650,5170
43-9011,LA,950,1030,1270,1530,1740,2150,1920,1810,1890,1820,1960
43-9021,LA,2710,3140,3520,2880,2960,2810,3210,3030,3010,3220,4050
43-9031,LA,60,60,50,50,80,120,120,110,130,180,250
45-0000,LA,3830,3760,4160,4870,5220,4890,5720,6890,7280,6780,5890
49-2011,LA,2780,2840,1070,1270,1520,1430,1510,1530,1520,1350,1200
51-4011,LA,980,840,840,580,510,460,540,720,600,400,370
51-4012,LA,80,70,60,80,110,120,90,60,60,60,50
11-3021,ME,870,870,850,870,960,1050,1030,1060,1210,1160,1380
13-0000,ME,20740,21000,22450,20600,21000,20040,19210,19020,17460,15960,16070
13-1081,ME,210,180,170,190,130,*,40,*,*,*,*
13-1111,ME,1220,1160,1150,970,950,960,760,880,700,690,720
15-0000,ME,9060,9020,8390,8070,8010,7610,7270,7000,7420,7360,8460
15-1021,ME,*,570,590,720,790,790,840,780,-1,1420,1650
15-1031,ME,*,1150,1050,1060,1030,1160,970,1410,1060,650,910
15-1032,ME,*,530,330,290,300,350,320,300,340,310,510
15-1041,ME,*,2010,1880,1670,1800,1810,1730,1580,1690,1700,2040
15-1051,ME,*,1560,1600,1650,1490,1240,1140,1120,1390,1330,1230
15-1061,ME,*,360,270,300,300,310,290,230,310,350,390
15-1071,ME,*,1180,1210,1070,990,930,1000,790,770,780,840
15-1081,ME,*,750,650,610,680,510,410,320,270,220,260
15-1099,ME,*,390,380,290,260,150,190,*,*,*,*
15-1121,ME,1560,*,*,*,*,*,*,*,*,*,*
15-1131,ME,600,*,*,*,*,*,*,*,*,*,*
15-1132,ME,1110,*,*,*,*,*,*,*,*,*,*
15-1133,ME,500,*,*,*,*,*,*,*,*,*,*
15-1141,ME,350,*,*,*,*,*,*,*,*,*,*
15-1142,ME,940,*,*,*,*,*,*,*,*,*,*
15-1150,ME,2200,*,*,*,*,*,*,*,*,*,*
15-1179,ME,970,*,*,*,*,*,*,*,*,*,*
15-1799,ME,380,*,*,*,*,*,*,*,*,*,*
15-2031,ME,130,210,160,180,120,140,150,100,70,70,80
17-0000,ME,9050,9760,9560,8690,8930,8880,9210,9740,8670,8930,9440
17-2061,ME,*,*,*,*,*,*,*,*,*,*,70
17-2112,ME,650,670,710,580,440,410,390,370,-1,540,550
17-3026,ME,290,340,490,370,390,270,250,280,160,130,260
19-0000,ME,4460,4780,4910,4690,4850,4540,4350,3970,3940,3990,4340
25-1021,ME,90,100,130,120,120,110,120,130,160,110,140
27-0000,ME,6910,7620,7670,7510,7330,6870,6040,6170,6320,6480,7100
27-1014,ME,*,50,60,70,50,40,40,90,70,110,-1
27-1024,ME,570,610,690,700,690,630,520,480,450,480,560
27-3042,ME,60,60,60,50,70,60,60,-1,110,100,-1
29-2071,ME,980,780,770,760,880,1010,910,1010,880,840,950
41-4011,ME,780,820,760,720,810,960,810,890,-1,1500,1570
43-9011,ME,330,300,230,230,400,480,460,640,800,800,990
43-9021,ME,740,890,670,800,970,1020,1070,1150,1390,1690,1800
43-9031,ME,110,170,110,130,190,170,210,180,130,130,160
45-0000,ME,2380,2320,2540,2590,2900,2860,2540,2170,2290,2540,2390
49-2011,ME,520,470,690,640,710,540,480,660,460,450,590
51-4011,ME,540,670,800,720,350,350,350,-1,560,540,630
51-4012,ME,40,30,*,60,70,110,80,-1,160,*,*
11-3021,MD,8610,7620,6730,6450,6550,7460,7430,7840,7390,7770,8100
13-0000,MD,149820,142600,138170,138240,137050,126090,119350,107030,104830,104160,100230
13-1081,MD,3930,3320,2580,2590,2420,1180,1170,*,*,*,*
13-1111,MD,19980,18530,17700,17450,18040,16560,15960,15100,13600,12280,12420
15-0000,MD,100170,98460,97030,95160,96090,94320,93250,92430,90000,85000,79060
15-1011,MD,*,1730,1780,1720,1840,2250,2410,2010,2210,1950,1750
15-1021,MD,*,8060,8210,9030,8850,8980,8260,10020,12270,12090,14060
15-1031,MD,*,11170,10660,11140,11530,11540,12100,11630,9560,8950,7230
15-1032,MD,*,13510,13150,12530,12570,13200,13000,14460,12260,10190,7450
15-1041,MD,*,12610,12230,11660,12610,12500,12240,10780,10670,10180,9340
15-1051,MD,*,13750,12520,11770,11880,20780,21020,19830,20240,17280,16290
15-1061,MD,*,3200,3290,3350,3460,3100,2370,2340,2190,2740,2580
15-1071,MD,*,9230,9640,9020,8530,7660,7360,6720,5910,5490,4940
15-1081,MD,*,7850,8020,7400,7060,6030,6730,5140,4660,4280,3240
15-1099,MD,*,11490,12100,12280,12710,2790,2770,*,*,*,*
15-1111,MD,2100,*,*,*,*,*,*,*,*,*,*
15-1121,MD,13360,*,*,*,*,*,*,*,*,*,*
15-1131,MD,7000,*,*,*,*,*,*,*,*,*,*
15-1132,MD,12170,*,*,*,*,*,*,*,*,*,*
15-1133,MD,12820,*,*,*,*,*,*,*,*,*,*
15-1141,MD,3120,*,*,*,*,*,*,*,*,*,*
15-1142,MD,8820,*,*,*,*,*,*,*,*,*,*
15-1150,MD,14330,*,*,*,*,*,*,*,*,*,*
15-1179,MD,8020,*,*,*,*,*,*,*,*,*,*
15-1799,MD,12380,*,*,*,*,*,*,*,*,*,*
15-2031,MD,2240,2320,2120,2040,1890,2510,2100,2080,1670,1780,1050
17-0000,MD,58230,59960,59230,57940,56170,56090,56550,52650,51760,52880,54750
17-2061,MD,2980,2430,2260,2400,2440,3240,3620,3020,2550,2050,1940
17-2112,MD,2580,2350,2580,2400,2710,2500,2240,2390,2000,2370,2890
17-3026,MD,-1,820,790,840,700,770,690,570,630,640,890
19-0000,MD,36280,40910,39740,38810,36730,39930,37780,34010,31930,30470,29560
25-1021,MD,830,880,740,810,960,1170,1000,930,750,560,640
27-0000,MD,29200,32030,31850,32640,31270,30970,30240,29540,28110,28990,28800
27-1014,MD,560,550,-1,-1,440,390,350,400,450,510,570
27-1024,MD,3930,4300,4260,4240,4050,3740,3080,3340,3070,3060,3370
27-3042,MD,1920,1880,2010,1900,1840,1690,1500,1330,1340,1450,1380
29-2071,MD,3130,2580,2590,2400,2520,2480,2380,2230,2180,2310,2180
41-4011,MD,5420,5790,6280,6380,6460,5560,5990,4950,5520,5990,5610
43-9011,MD,2400,2660,3390,3460,3480,2950,3070,3350,4000,4250,4950
43-9021,MD,3580,3970,4760,6090,6710,6280,5850,6590,7180,7200,8050
43-9031,MD,530,560,620,670,610,620,560,560,520,620,800
45-0000,MD,2250,2360,2970,3020,2530,2240,2360,2300,2400,2690,2590
49-2011,MD,2080,1960,2400,2420,2480,2520,3470,3090,3220,2760,1920
51-4011,MD,740,490,480,400,720,690,960,1050,860,820,900
51-4012,MD,130,90,100,70,80,60,80,100,160,160,230
11-3021,MA,12940,12270,11900,11070,10130,10330,11170,11090,10890,11880,12590
13-0000,MA,172320,168070,171590,170680,169230,157940,149200,137760,128570,129170,135740
13-1081,MA,1680,1670,1790,2030,2220,2200,1810,*,*,*,*
13-1111,MA,21470,21550,20070,18500,19400,16940,15940,15170,12500,13210,14560
15-0000,MA,125010,122810,121680,116270,113890,110190,108940,105120,103340,110310,120030
15-1011,MA,*,1500,1430,1510,1350,1390,1510,1110,1240,1090,1040
15-1021,MA,*,9200,9790,10010,12350,11170,11020,11240,12900,16320,19680
15-1031,MA,*,21440,23180,23140,22810,21340,21620,18540,18600,21050,23620
15-1032,MA,*,27150,26720,23750,20730,18530,18300,16490,14000,14820,14230
15-1041,MA,*,17960,17850,16760,16610,15500,14800,16600,15190,17160,19050
15-1051,MA,*,18090,16340,15170,13650,16520,16580,17840,18970,14900,17000
15-1061,MA,*,3380,3440,3810,4040,4220,4270,4030,3900,4320,3480
15-1071,MA,*,10320,9840,9400,9100,8830,8730,7720,7800,8940,9760
15-1081,MA,*,5350,5850,5710,6360,6490,6300,5420,4260,4450,3700
15-1099,MA,*,4540,3140,2650,2430,2440,2540,*,*,*,*
15-1111,MA,1480,*,*,*,*,*,*,*,*,*,*
15-1121,MA,15090,*,*,*,*,*,*,*,*,*,*
15-1131,MA,8960,*,*,*,*,*,*,*,*,*,*
15-1132,MA,22750,*,*,*,*,*,*,*,*,*,*
15-1133,MA,27100,*,*,*,*,*,*,*,*,*,*
15-1141,MA,3360,*,*,*,*,*,*,*,*,*,*
15-1142,MA,10540,*,*,*,*,*,*,*,*,*,*
15-1150,MA,19360,*,*,*,*,*,*,*,*,*,*
15-1179,MA,7820,*,*,*,*,*,*,*,*,*,*
15-1799,MA,4260,*,*,*,*,*,*,*,*,*,*
15-2031,MA,2150,2170,2100,2230,2470,2140,1880,1650,1680,2060,2140
17-0000,MA,70840,74270,77030,76140,74130,73800,73890,72840,72930,76630,76600
17-2061,MA,3540,3860,4300,4500,4460,4490,4410,4550,3470,3250,2880
17-2112,MA,5870,5990,6400,6260,6220,6290,6320,5660,5320,6020,6400
17-3026,MA,2680,2610,2360,2270,2060,2020,2020,1510,1320,1880,2140
19-0000,MA,43590,54010,53900,48960,46750,42530,41870,42240,42050,39620,40410
25-1021,MA,960,940,1000,1040,1110,1500,1340,1470,810,710,760
27-0000,MA,55990,52390,51830,49280,47630,45650,43980,41180,38890,39890,39120
27-1014,MA,820,870,960,840,730,1020,*,1600,1760,1360,1150
27-1024,MA,5530,5420,5580,5320,4980,4930,4810,4530,4570,4350,4370
27-3042,MA,2010,2480,2480,2520,2320,2040,2160,1880,1810,2110,2610
29-2071,MA,5710,5800,5690,5580,5530,5380,5200,4590,4270,4620,4350
41-4011,MA,15110,16380,18340,18650,18450,17530,17140,16150,13700,12920,13890
43-9011,MA,2170,2350,2080,2120,2510,2880,3050,3330,4530,4790,5060
43-9021,MA,3870,5060,5810,6510,6490,6830,7690,7730,10590,8880,10940
43-9031,MA,870,870,1520,2130,1710,1350,1160,1080,1240,1240,1500
45-0000,MA,1510,1780,2700,2640,2900,2660,2350,2650,2460,2040,2480
49-2011,MA,2390,1940,2450,2730,2670,3040,3440,2970,3840,3350,3860
51-4011,MA,2620,2940,3030,3040,3180,3120,3230,2900,2800,3290,3390
51-4012,MA,430,350,260,350,370,310,330,330,420,510,640
11-3021,MI,6650,6840,7260,6940,6880,7680,7580,7410,7080,7180,8680
13-0000,MI,168360,174640,187800,192970,197100,190210,188840,189910,181180,180930,184550
13-1081,MI,4440,5020,5600,5560,5420,3980,3770,*,*,*,*
13-1111,MI,9170,8930,11480,9640,11030,10510,10710,10640,8750,9160,9400
15-0000,MI,81030,83170,92520,93350,94090,86990,85330,76960,77560,80120,82020
15-1011,MI,*,200,250,290,400,420,-1,-1,-1,440,350
15-1021,MI,*,10450,12380,13230,14410,13980,15270,12090,13360,12600,12010
15-1031,MI,*,9600,9370,11050,9750,9320,9360,8300,9240,9300,9810
15-1032,MI,*,6740,7670,7580,6750,5070,4270,2860,4740,4370,6310
15-1041,MI,*,15420,15680,14210,13860,14540,13720,11580,12400,12210,13350
15-1051,MI,*,12820,15200,16090,17510,16130,15020,16690,15090,16230,17890
15-1061,MI,*,2460,2750,2730,2770,2240,2460,2060,2190,1980,1960
15-1071,MI,*,8240,8780,7510,7410,6960,6630,6910,6210,6720,6800
15-1081,MI,*,5510,6670,6040,5890,4870,4240,3260,2610,3310,2710
15-1099,MI,*,7980,9820,10250,10530,8550,8520,*,*,*,*
15-1111,MI,170,*,*,*,*,*,*,*,*,*,*
15-1121,MI,11690,*,*,*,*,*,*,*,*,*,*
15-1131,MI,10160,*,*,*,*,*,*,*,*,*,*
15-1132,MI,9880,*,*,*,*,*,*,*,*,*,*
15-1133,MI,6440,*,*,*,*,*,*,*,*,*,*
15-1141,MI,2380,*,*,*,*,*,*,*,*,*,*
15-1142,MI,7850,*,*,*,*,*,*,*,*,*,*
15-1150,MI,17670,*,*,*,*,*,*,*,*,*,*
15-1179,MI,4820,*,*,*,*,*,*,*,*,*,*
15-1799,MI,6690,*,*,*,*,*,*,*,*,*,*
15-2031,MI,2090,2480,2200,2310,1920,*,*,*,*,1720,1820
17-0000,MI,110450,113330,124010,134580,134900,128760,130700,134090,144260,145330,161110
17-2061,MI,1050,1050,1300,1420,910,760,770,710,930,690,690
17-2112,MI,19680,20000,20790,21630,21070,19190,18860,14980,13680,12730,13640
17-3026,MI,5880,5690,5360,5540,5890,5940,6020,4220,*,2220,2520
19-0000,MI,26210,32790,33940,32050,32660,31040,30960,40780,35440,39830,36960
25-1021,MI,940,1010,1080,1060,980,1110,1030,820,910,780,920
27-0000,MI,44180,49470,53500,55790,53150,54380,53990,54000,51460,49310,47730
27-1014,MI,480,280,360,280,400,520,520,680,650,510,500
27-1024,MI,4850,5050,5080,6690,6160,5780,4970,4710,4650,4710,4090
27-3042,MI,1500,1690,2030,1790,1600,1470,1470,1820,1610,2200,2210
29-2071,MI,4700,4970,5170,4800,4770,4820,5260,5430,4820,4990,5270
41-4011,MI,12130,13600,13240,10710,11090,10460,9920,10980,13030,13090,14250
43-9011,MI,1990,2260,2520,3070,3780,3550,3750,3990,4940,5110,5290
43-9021,MI,5150,5410,5740,5320,5720,5640,5900,7060,8970,8990,11440
43-9031,MI,760,1280,1280,1120,700,590,620,740,840,740,820
45-0000,MI,4470,5250,5350,6400,5770,5520,4960,6410,7060,6030,5800
49-2011,MI,2160,2280,2590,3200,3570,3450,3290,3390,3610,2600,2740
51-4011,MI,8690,8680,11550,11010,10810,10450,9420,8560,10110,10530,12660
51-4012,MI,1000,1040,1500,1380,1330,1280,1120,1400,1660,1540,1860
11-3021,MN,9540,9370,9310,8690,8650,8420,8060,7130,6340,6440,6570
13-0000,MN,150690,152970,155510,154590,150620,144570,141490,137780,126030,118410,109920
13-1081,MN,1570,1260,1250,1340,1360,*,1200,*,*,*,*
13-1111,MN,9230,10200,9990,9520,8730,8340,8350,11210,8840,7570,6360
15-0000,MN,80690,82290,81800,77660,74630,69540,69200,69450,69140,68990,71220
15-1011,MN,*,240,220,170,-1,*,*,*,460,*,730
15-1021,MN,*,5490,5870,5620,5990,5810,6090,7410,9030,9730,11000
15-1031,MN,*,16170,15640,15900,15760,16270,15850,13580,10960,10490,10400
15-1032,MN,*,7810,8650,8580,7560,7170,6080,7330,6780,5430,4430
15-1041,MN,*,11880,12600,12040,10420,9750,10090,10230,11410,12330,12250
15-1051,MN,*,12160,10940,8340,8940,8340,8940,9420,9140,8930,10580
15-1061,MN,*,2300,2470,2740,2810,2660,2820,2480,2240,2190,2230
15-1071,MN,*,10190,10330,9880,8580,6670,6010,4480,4430,4690,5560
15-1081,MN,*,5380,5570,4980,5140,4420,4290,3840,3630,3370,3850
15-1099,MN,*,8370,7210,6980,6730,5900,6350,*,*,*,*
15-1111,MN,170,*,*,*,*,*,*,*,*,*,*
15-1121,MN,12650,*,*,*,*,*,*,*,*,*,*
15-1131,MN,5500,*,*,*,*,*,*,*,*,*,*
15-1132,MN,14690,*,*,*,*,*,*,*,*,*,*
15-1133,MN,7680,*,*,*,*,*,*,*,*,*,*
15-1141,MN,2060,*,*,*,*,*,*,*,*,*,*
15-1142,MN,9490,*,*,*,*,*,*,*,*,*,*
15-1150,MN,11400,*,*,*,*,*,*,*,*,*,*
15-1179,MN,6430,*,*,*,*,*,*,*,*,*,*
15-1799,MN,7750,*,*,*,*,*,*,*,*,*,*
15-2031,MN,1720,1330,1370,1400,1650,1430,1440,1370,1200,1170,1200
17-0000,MN,46790,48660,51890,51910,52390,54130,52360,53850,51000,52010,49510
17-2061,MN,810,970,1640,1860,1590,1150,970,1330,*,1090,1100
17-2112,MN,6640,6410,6900,6460,6380,5640,5180,4300,3860,5100,5390
17-3026,MN,3300,3580,3550,3500,3470,3180,2710,2080,1880,2970,3090
19-0000,MN,21990,29300,29600,29500,29240,27330,26910,25320,23830,23300,21290
25-1021,MN,590,560,530,520,610,610,590,700,570,600,630
27-0000,MN,37150,38630,39270,36040,35540,34580,33310,33130,33780,32840,37120
27-1014,MN,770,860,880,640,760,650,510,440,400,530,540
27-1024,MN,5160,5320,5380,5210,5090,4360,4370,4060,3640,3380,3270
27-3042,MN,950,1140,1170,1080,930,1020,1080,1310,1320,1230,1420
29-2071,MN,3860,3690,3760,3680,3790,3690,3630,3440,3240,3030,3150
41-4011,MN,7280,7550,7260,7300,6980,7190,7990,7740,8120,7230,8300
43-9011,MN,1030,1180,1370,1420,1420,1720,1730,2590,2960,3050,3510
43-9021,MN,4830,5900,6090,6550,6500,6390,6620,6390,7440,8020,8730
43-9031,MN,810,870,930,920,1080,1190,1220,1360,1320,1200,1200
45-0000,MN,4980,5040,4260,3700,4300,3770,4630,5120,4580,4990,5020
49-2011,MN,2230,2350,2860,2790,2840,2150,2570,2320,3220,3790,4400
51-4011,MN,3200,4310,4980,5120,4850,4020,3160,3100,3660,3810,4460
51-4012,MN,510,550,590,640,560,640,500,510,540,680,850
11-3021,MS,1010,980,920,840,860,1010,970,910,1110,970,1050
13-0000,MS,25410,26420,26380,26110,24900,23850,23320,23690,23590,22910,23780
13-1081,MS,280,340,440,400,300,90,110,*,*,*,*
13-1111,MS,930,940,860,850,790,730,860,680,610,560,490
15-0000,MS,8560,9670,10010,9460,8960,9250,8890,8470,8450,8820,8230
15-1011,MS,*,340,300,270,270,260,230,170,150,150,120
15-1021,MS,*,1180,1240,1210,1250,1010,990,1150,1190,1250,1330
15-1031,MS,*,1170,1220,1080,930,1120,1030,830,770,910,710
15-1032,MS,*,270,330,280,-1,-1,150,130,-1,660,250
15-1041,MS,*,2420,2660,2430,2410,2860,2630,2660,2170,1770,1860
15-1051,MS,*,1190,1240,1220,1310,1580,1610,1340,1580,1460,1560
15-1061,MS,*,340,360,350,310,280,280,260,280,270,280
15-1071,MS,*,1590,1470,1430,1230,1160,1130,1050,1070,1230,1110
15-1081,MS,*,400,440,490,390,410,450,420,310,320,390
15-1099,MS,*,550,540,530,410,150,150,*,*,*,*
15-1111,MS,270,*,*,*,*,*,*,*,*,*,*
15-1121,MS,1010,*,*,*,*,*,*,*,*,*,*
15-1131,MS,1120,*,*,*,*,*,*,*,*,*,*
15-1132,MS,550,*,*,*,*,*,*,*,*,*,*
15-1133,MS,240,*,*,*,*,*,*,*,*,*,*
15-1141,MS,340,*,*,*,*,*,*,*,*,*,*
15-1142,MS,1460,*,*,*,*,*,*,*,*,*,*
15-1150,MS,2540,*,*,*,*,*,*,*,*,*,*
15-1179,MS,300,*,*,*,*,*,*,*,*,*,*
15-1799,MS,500,*,*,*,*,*,*,*,*,*,*
15-2031,MS,110,120,110,70,70,90,90,80,*,*,250
17-0000,MS,14480,15800,19890,18790,-1,15570,15440,13990,14400,16040,16010
17-2061,MS,30,40,50,60,70,60,60,40,70,90,70
17-2112,MS,1970,2160,1070,1020,870,1840,1790,1470,1020,760,780
17-3026,MS,360,390,440,450,520,510,520,440,370,330,-1
19-0000,MS,6700,7280,7300,6610,6710,6400,6240,6630,7440,7210,7610
25-1021,MS,330,450,420,400,390,400,390,320,300,260,300
27-0000,MS,8030,8280,8260,8850,8780,9230,9030,7310,7380,6540,7200
27-1014,MS,40,40,40,30,*,30,30,40,40,*,30
27-1024,MS,720,720,740,700,750,610,650,520,420,440,450
27-3042,MS,90,190,280,270,190,100,60,90,130,90,110
29-2071,MS,2020,2250,2180,2180,2160,2340,2330,2000,1720,1660,1520
41-4011,MS,650,750,1070,1070,1100,990,820,920,1690,1660,1810
43-9011,MS,630,950,940,930,840,860,990,1250,1340,1210,1090
43-9021,MS,1440,1620,1680,1600,1940,1910,2150,2610,2760,2630,2360
43-9031,MS,-1,-1,-1,60,40,70,80,140,140,160,240
45-0000,MS,4450,4570,4460,4830,5330,6050,6440,5880,6630,5370,5810
49-2011,MS,790,820,720,540,670,740,770,910,820,800,820
51-4011,MS,910,840,1010,1060,1150,980,670,690,960,1360,1590
51-4012,MS,50,50,50,60,70,80,90,140,110,130,-1
11-3021,MO,4980,5130,5820,5170,4970,4780,5070,5740,5820,5610,6410
13-0000,MO,118890,118270,114980,113220,108800,102690,101400,93540,90820,87300,89550
13-1081,MO,1950,1350,1360,1210,-1,680,700,*,*,*,*
13-1111,MO,6130,6420,6000,5960,6250,6430,6740,6380,5330,3870,4350
15-0000,MO,70530,67760,68170,62860,62880,58150,59460,57050,54050,51320,55540
15-1011,MO,*,-1,-1,-1,210,140,170,150,160,200,200
15-1021,MO,*,8470,9240,8700,10610,8850,9460,10430,11290,11430,11180
15-1031,MO,*,10020,8740,7660,7210,10260,10390,9670,6290,5830,5950
15-1032,MO,*,4840,4660,6220,5790,5190,4600,2570,3210,2900,3700
15-1041,MO,*,12590,12320,11120,9720,8220,9190,9770,9850,9710,10760
15-1051,MO,*,9960,10210,9200,9500,8970,9410,9500,9570,9540,12050
15-1061,MO,*,2840,2910,3090,2760,2740,2640,2240,2040,1540,1630
15-1071,MO,*,8700,9530,8190,8050,6510,6110,5810,5200,3890,4010
15-1081,MO,*,3850,4650,4220,4430,4470,4600,3840,3370,2260,1770
15-1099,MO,*,4280,3880,2600,2840,1210,1320,*,*,*,*
15-1111,MO,100,*,*,*,*,*,*,*,*,*,*
15-1121,MO,11960,*,*,*,*,*,*,*,*,*,*
15-1131,MO,6870,*,*,*,*,*,*,*,*,*,*
15-1132,MO,11970,*,*,*,*,*,*,*,*,*,*
15-1133,MO,4450,*,*,*,*,*,*,*,*,*,*
15-1141,MO,2760,*,*,*,*,*,*,*,*,*,*
15-1142,MO,8180,*,*,*,*,*,*,*,*,*,*
15-1150,MO,13880,*,*,*,*,*,*,*,*,*,*
15-1179,MO,4380,*,*,*,*,*,*,*,*,*,*
15-1799,MO,3950,*,*,*,*,*,*,*,*,*,*
15-2031,MO,860,830,780,690,960,760,700,710,640,1000,690
17-0000,MO,36420,39520,41780,40280,37270,35930,37400,36090,35040,37750,39220
17-2061,MO,210,230,290,240,170,140,210,220,290,510,850
17-2112,MO,3360,3160,3510,3800,3280,3920,3620,3310,3420,2760,3190
17-3026,MO,1050,800,940,880,1110,1130,1320,1350,930,830,880
19-0000,MO,14090,19030,19630,21460,21490,20910,19570,17640,15310,13560,15710
25-1021,MO,690,730,740,830,1020,1040,1020,920,1110,930,750
27-0000,MO,35820,36440,36340,33510,32970,35280,34740,33810,33930,30130,31750
27-1014,MO,360,490,480,370,190,230,370,640,740,600,520
27-1024,MO,3760,3970,3970,3750,3740,3980,3530,2810,3200,2600,3210
27-3042,MO,960,820,670,870,800,*,580,550,560,490,730
29-2071,MO,3750,4050,4480,5140,5160,5000,4900,4610,4410,4500,3670
41-4011,MO,6070,7390,7960,8290,8810,7730,8300,9210,7730,7530,6960
43-9011,MO,1420,1710,2060,2660,3030,3350,3310,3850,4510,4200,3910
43-9021,MO,4820,5580,6180,6230,6310,7080,7350,8030,8530,7430,7540
43-9031,MO,600,580,670,840,820,970,800,810,770,840,760
45-0000,MO,4000,4270,4410,4940,4550,4350,4080,3600,4280,4600,4490
49-2011,MO,2010,2370,2600,2980,2950,2980,2710,2950,2650,2390,1970
51-4011,MO,3690,4020,3860,3570,4050,3800,3450,3010,2420,2510,2490
51-4012,MO,460,290,250,240,250,240,300,350,500,450,530
11-3021,MT,410,350,350,280,300,330,380,380,400,360,320
13-0000,MT,15640,15110,14710,14320,14290,12920,12910,12070,11110,10520,10070
13-1081,MT,60,110,100,90,-1,30,-1,*,*,*,*
13-1111,MT,540,460,430,360,350,420,480,610,370,230,230
