OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15-1051,CA,*,54560,53420,50970,49790,52040,51360,50070,49380,45350,52300
15-1061,CA,*,12950,14080,11480,11050,10960,11230,12560,13530,14810,15160
15-1071,CA,*,36040,34640,32960,31930,30780,29280,30660,33220,31770,32220
15-1081,CA,*,27140,25810,24870,23450,20900,18900,17990,17270,15710,15750
15-1099,CA,*,30840,30300,29970,29400,23520,23440,*,*,*,*
15-1111,CA,4440,*,*,*,*,*,*,*,*,*,*
15-1121,CA,55060,*,*,*,*,*,*,*,*,*,*
15-1131,CA,34840,*,*,*,*,*,*,*,*,*,*
15-1132,CA,78150,*,*,*,*,*,*,*,*,*,*
15-1133,CA,69040,*,*,*,*,*,*,*,*,*,*
15-1141,CA,12380,*,*,*,*,*,*,*,*,*,*
15-1142,CA,37160,*,*,*,*,*,*,*,*,*,*
15-1150,CA,63930,*,*,*,*,*,*,*,*,*,*
15-1179,CA,29660,*,*,*,*,*,*,*,*,*,*
15-1799,CA,24150,*,*,*,*,*,*,*,*,*,*
15-2031,CA,7370,6690,6060,5700,5990,6020,6340,7240,7390,6730,7360
17-0000,CA,299280,313470,328910,334030,324780,320980,326000,314780,327880,331750,344810
17-2061,CA,17780,16880,20300,20130,20410,21440,21400,18040,14260,14850,11380
17-2112,CA,18310,18750,18690,18260,19090,20400,19410,17620,16280,18320,20360
17-3026,CA,4250,4620,5320,5770,6360,6320,6520,5560,5860,5340,5980
19-0000,CA,158450,187760,181290,163210,156570,151740,146520,138830,135710,136800,131500
25-1021,CA,3580,3530,3310,2870,*,3380,3450,3590,3000,2020,1990
27-0000,CA,272130,269030,295450,281520,308110,295360,289110,-1,226280,236220,228130
27-1014,CA,8440,9440,10510,9460,8470,6530,8820,7770,8110,6020,5410
27-1024,CA,26390,27990,30340,28390,27080,23530,22880,21550,19500,17910,17390
27-3042,CA,5820,6830,6760,6810,6670,6870,6700,6750,7200,6860,7890
29-2071,CA,17340,15180,15040,14890,13490,14050,13830,14080,14620,13730,12570
41-4011,CA,45060,47900,50180,48090,42950,39640,45040,46440,40950,41660,37490
43-9011,CA,9710,11940,12910,12750,12160,13550,14530,18290,20460,19980,22890
43-9021,CA,22760,24720,28350,31830,35860,35860,37490,41290,45140,50330,59260
43-9031,CA,1630,1680,2250,2400,2800,2840,3210,3250,3040,2960,2830
45-0000,CA,177300,182320,189790,189510,182520,170980,171580,174330,174570,176060,189550
49-2011,CA,12530,12980,14710,15830,16730,16620,16230,16470,15710,18660,18660
51-4011,CA,9610,10000,11380,10850,10360,10640,10570,11320,12130,13040,17400
51-4012,CA,1730,1360,1690,1720,1930,1980,1980,1810,1950,1990,2350
11-3021,CO,4550,4490,4210,4390,4460,4990,5090,4690,5540,6430,7780
13-0000,CO,133330,131640,126560,122710,114640,107590,103350,97490,89310,87660,84270
13-1081,CO,1950,1800,1750,1380,1280,960,1140,*,*,*,*
13-1111,CO,8790,8900,9100,7700,7200,6710,6630,6480,5970,5200,4480
15-0000,CO,86510,88120,86370,81700,77980,74550,76000,74900,75940,84540,93030
15-1011,CO,*,370,350,350,450,380,430,260,260,240,360
15-1021,CO,*,5420,5900,6520,6010,6000,6480,7820,10260,13010,14560
15-1031,CO,*,18150,16300,13990,13590,14510,15030,13480,13060,13280,16710
15-1032,CO,*,16400,16000,14070,10640,9570,10510,9320,8030,8530,8170
15-1041,CO,*,12070,12450,12490,14040,12820,12270,11180,12190,14110,16070
15-1051,CO,*,10500,10040,9530,11360,12280,13100,14170,11230,13850,13320
15-1061,CO,*,3330,3330,3390,2370,2440,2580,2750,2810,2560,2740
15-1071,CO,*,9370,8250,8090,7100,7180,6100,6250,6580,6740,7230
15-1081,CO,*,4260,5030,5270,4930,4420,4620,4430,4420,4110,4570
15-1099,CO,*,6800,7030,6230,5710,3370,3330,*,*,*,*
15-1111,CO,360,*,*,*,*,*,*,*,*,*,*
15-1121,CO,9150,*,*,*,*,*,*,*,*,*,*
15-1131,CO,4030,*,*,*,*,*,*,*,*,*,*
15-1132,CO,19960,*,*,*,*,*,*,*,*,*,*
15-1133,CO,13810,*,*,*,*,*,*,*,*,*,*
15-1141,CO,2430,*,*,*,*,*,*,*,*,*,*
15-1142,CO,9320,*,*,*,*,*,*,*,*,*,*
15-1150,CO,14730,*,*,*,*,*,*,*,*,*,*
15-1179,CO,4350,*,*,*,*,*,*,*,*,*,*
15-1799,CO,6360,*,*,*,*,*,*,*,*,*,*
15-2031,CO,1420,1050,1050,950,960,910,990,710,810,630,650
17-0000,CO,52660,56490,59050,57230,54890,52890,52680,53860,53820,56100,52440
17-2061,CO,2460,3240,3960,3420,3140,2870,2710,1970,1560,1640,1920
17-2112,CO,2680,2990,3160,3430,3310,3170,3170,2800,2850,2870,2830
17-3026,CO,590,690,770,1040,1010,1370,1470,1120,1120,810,720
19-0000,CO,25150,28540,28750,28770,28390,27180,24130,23230,25120,23430,24170
25-1021,CO,500,320,430,480,640,620,620,510,570,510,530
27-0000,CO,37760,40610,40380,38110,31630,30090,30360,29160,29060,28190,27710
27-1014,CO,190,260,310,370,210,280,290,420,380,540,-1
27-1024,CO,3800,3610,3300,3340,2980,3110,3050,2460,2770,2620,3000
27-3042,CO,980,1080,1210,1340,1300,1420,1500,1240,1290,1320,1510
29-2071,CO,2780,2770,2990,3070,3550,2860,2670,2320,1960,2030,2060
41-4011,CO,7830,9120,9990,7960,6800,5440,5770,6390,5650,5090,5620
43-9011,CO,890,1390,1540,1850,2030,2040,2150,2470,2570,2490,2900
43-9021,CO,2700,2720,3190,3160,3410,4060,4220,5010,5470,5680,7430
43-9031,CO,*,420,510,500,490,500,-1,450,-1,430,640
45-0000,CO,3290,3210,3430,3620,3450,4910,5000,5570,3900,3650,3680
49-2011,CO,1830,1930,1950,2120,2950,2840,3190,2940,2880,3300,3090
51-4011,CO,1000,1010,900,1280,1240,1610,1320,1560,1270,1510,1780
51-4012,CO,160,120,140,130,170,180,200,220,200,220,300
11-3021,CT,6660,7150,6280,6020,5130,5020,4850,4420,4660,4490,4910
13-0000,CT,82050,80630,84630,83510,84160,83330,85040,84210,77880,75460,71970
